#k-distance eigenvalue[eV]
0.00000000 -13.40220000
0.04350851 -13.39990000
0.08701702 -13.39290000
0.13052553 -13.38150000
0.17403404 -13.36570000
0.21754255 -13.34600000
0.26105106 -13.32280000
0.30455957 -13.29660000
0.34806808 -13.26780000
0.39157659 -13.23710000
0.43508511 -13.20520000
0.47859362 -13.17270000
0.52210213 -13.14040000
0.56561064 -13.10900000
0.60911915 -13.07920000
0.65262766 -13.05170000
0.69613617 -13.02740000
0.73964468 -13.00700000
0.78315319 -12.99140000
0.82666170 -12.98160000
0.87017021 -12.97820000
0.87017021 -12.97820000
0.91584230 -12.97700000
0.96151439 -12.97350000
1.00718648 -12.96780000
1.05285857 -12.96010000
1.09853067 -12.95060000
1.14420276 -12.93980000
1.18987485 -12.92800000
1.23554694 -12.91560000
1.28121903 -12.90310000
1.32689112 -12.89090000
1.37256321 -12.87940000
1.37256321 -12.87940000
1.41442930 -12.89050000
1.45629536 -12.90370000
1.49816144 -12.91920000
1.54002753 -12.93710000
1.58189362 -12.95730000
1.62375970 -12.97990000
1.66562579 -13.00470000
1.70749188 -13.03150000
1.74935797 -13.06020000
1.79122405 -13.09030000
1.83309011 -13.12150000
1.87495620 -13.15330000
1.91682228 -13.18520000
1.95868837 -13.21680000
2.00055446 -13.24740000
2.04242054 -13.27660000
2.08428663 -13.30370000
2.12615272 -13.32830000
2.16801881 -13.35000000
2.20988486 -13.36830000
2.25175095 -13.38300000
2.29361704 -13.39360000
2.33548312 -13.40010000
2.37734921 -13.40220000
2.37734921 -13.40220000
2.42368800 -13.39950000
2.47002679 -13.39120000
2.51636558 -13.37770000
2.56270437 -13.35920000
2.60904316 -13.33630000
2.65538195 -13.30950000
2.70172074 -13.27960000
2.74805953 -13.24740000
2.79439832 -13.21360000
2.84073711 -13.17930000
2.84073711 -13.17930000
2.88424562 -13.17750000
2.92775413 -13.17240000
2.97126264 -13.16390000
3.01477115 -13.15240000
3.05827966 -13.13800000
3.10178817 -13.12120000
3.14529668 -13.10240000
3.18880519 -13.08200000
3.23231370 -13.06060000
3.27582221 -13.03870000
3.31933072 -13.01690000
3.36283924 -12.99560000
3.40634775 -12.97550000
3.44985626 -12.95690000
3.49336477 -12.94040000
3.53687328 -12.92630000
3.58038179 -12.91510000
3.62389030 -12.90680000
3.66739881 -12.90180000
3.71090732 -12.90010000
3.71090732 -12.90010000
3.75657941 -12.89950000
3.80225150 -12.89780000
3.84792359 -12.89520000
3.89359568 -12.89160000
3.93926777 -12.88750000
3.98493987 -12.88310000
4.03061196 -12.87860000
4.07628405 -12.87460000
4.12195614 -12.87120000
4.16762823 -12.86890000
4.21330032 -12.86810000
4.21330032 -12.86810000
4.25516641 -12.86890000
4.29703246 -12.87130000
4.33889855 -12.87570000
4.38076464 -12.88210000
4.42263073 -12.89070000
4.46449681 -12.90130000
4.50636290 -12.91410000
4.54822899 -12.92890000
4.59009507 -12.94560000
4.63196116 -12.96380000
4.67382722 -12.98340000
4.71569331 -13.00400000
4.75755939 -13.02530000
4.79942548 -13.04660000
4.84129157 -13.06780000
4.88315765 -13.08820000
4.92502374 -13.10750000
4.96688983 -13.12520000
5.00875591 -13.14090000
5.05062197 -13.15430000
5.09248806 -13.16500000
5.13435415 -13.17290000
5.17622023 -13.17770000
5.21808632 -13.17930000
5.21808632 -12.90010000
5.26442511 -12.91090000
5.31076390 -12.92200000
5.35710269 -12.93300000
5.40344148 -12.94350000
5.44978027 -12.95320000
5.49611906 -12.96170000
5.54245785 -12.96870000
5.58879664 -12.97390000
5.63513543 -12.97710000
5.68147422 -12.97820000
5.68147422 -12.86810000
5.72781301 -12.86840000
5.77415180 -12.86920000
5.82049059 -12.87040000
5.86682938 -12.87200000
5.91316817 -12.87380000
5.95950696 -12.87550000
6.00584575 -12.87710000
6.05218453 -12.87830000
6.09852332 -12.87910000
6.14486211 -12.87940000

0.00000000 -12.96790000
0.04350851 -12.96690000
0.08701702 -12.96380000
0.13052553 -12.95880000
0.17403404 -12.95200000
0.21754255 -12.94370000
0.26105106 -12.93420000
0.30455957 -12.92370000
0.34806808 -12.91260000
0.39157659 -12.90140000
0.43508511 -12.89040000
0.47859362 -12.87990000
0.52210213 -12.87040000
0.56561064 -12.86210000
0.60911915 -12.85530000
0.65262766 -12.85020000
0.69613617 -12.84670000
0.73964468 -12.84480000
0.78315319 -12.84400000
0.82666170 -12.84380000
0.87017021 -12.84390000
0.87017021 -12.84390000
0.91584230 -12.84390000
0.96151439 -12.84410000
1.00718648 -12.84450000
1.05285857 -12.84530000
1.09853067 -12.84660000
1.14420276 -12.84860000
1.18987485 -12.85170000
1.23554694 -12.85600000
1.28121903 -12.86180000
1.32689112 -12.86960000
1.37256321 -12.87940000
1.37256321 -12.87940000
1.41442930 -12.86990000
1.45629536 -12.86160000
1.49816144 -12.85480000
1.54002753 -12.84960000
1.58189362 -12.84630000
1.62375970 -12.84480000
1.66562579 -12.84540000
1.70749188 -12.84780000
1.74935797 -12.85210000
1.79122405 -12.85800000
1.83309011 -12.86550000
1.87495620 -12.87420000
1.91682228 -12.88390000
1.95868837 -12.89430000
2.00055446 -12.90510000
2.04242054 -12.91600000
2.08428663 -12.92650000
2.12615272 -12.93640000
2.16801881 -12.94540000
2.20988486 -12.95320000
2.25175095 -12.95950000
2.29361704 -12.96410000
2.33548312 -12.96700000
2.37734921 -12.96790000
2.37734921 -12.96790000
2.42368800 -12.97040000
2.47002679 -12.97790000
2.51636558 -12.99010000
2.56270437 -13.00690000
2.60904316 -13.02800000
2.65538195 -13.05300000
2.70172074 -13.08130000
2.74805953 -13.11230000
2.79439832 -13.14520000
2.84073711 -13.17930000
2.84073711 -13.17930000
2.88424562 -13.17750000
2.92775413 -13.17240000
2.97126264 -13.16390000
3.01477115 -13.15240000
3.05827966 -13.13800000
3.10178817 -13.12120000
3.14529668 -13.10240000
3.18880519 -13.08200000
3.23231370 -13.06060000
3.27582221 -13.03870000
3.31933072 -13.01690000
3.36283924 -12.99560000
3.40634775 -12.97550000
3.44985626 -12.95690000
3.49336477 -12.94040000
3.53687328 -12.92630000
3.58038179 -12.91510000
3.62389030 -12.90680000
3.66739881 -12.90180000
3.71090732 -12.90010000
3.71090732 -12.90010000
3.75657941 -12.89950000
3.80225150 -12.89780000
3.84792359 -12.89520000
3.89359568 -12.89160000
3.93926777 -12.88750000
3.98493987 -12.88310000
4.03061196 -12.87860000
4.07628405 -12.87460000
4.12195614 -12.87120000
4.16762823 -12.86890000
4.21330032 -12.86810000
4.21330032 -12.86810000
4.25516641 -12.86890000
4.29703246 -12.87130000
4.33889855 -12.87570000
4.38076464 -12.88210000
4.42263073 -12.89070000
4.46449681 -12.90130000
4.50636290 -12.91410000
4.54822899 -12.92890000
4.59009507 -12.94560000
4.63196116 -12.96380000
4.67382722 -12.98340000
4.71569331 -13.00400000
4.75755939 -13.02530000
4.79942548 -13.04660000
4.84129157 -13.06780000
4.88315765 -13.08820000
4.92502374 -13.10750000
4.96688983 -13.12520000
5.00875591 -13.14090000
5.05062197 -13.15430000
5.09248806 -13.16500000
5.13435415 -13.17290000
5.17622023 -13.17770000
5.21808632 -13.17930000
5.21808632 -12.90010000
