# energy s p d
-1.540220000000000056e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.539359999999999928e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.538490000000000002e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.537620000000000076e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.536749999999999972e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.535880000000000045e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.535009999999999941e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.534140000000000015e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.533280000000000065e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.532409999999999961e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.531540000000000035e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.530669999999999931e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.529800000000000004e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.528930000000000078e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.528059999999999974e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.527200000000000024e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.526329999999999920e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.525459999999999994e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.524590000000000067e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.523719999999999963e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.522850000000000037e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.521979999999999933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.521110000000000007e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.520250000000000057e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.519379999999999953e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.518510000000000026e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.517639999999999922e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.516769999999999996e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.515900000000000070e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.515029999999999966e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.514170000000000016e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
