    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
   -14.41083     3.10831
   -14.40083     3.61864
   -14.39084     3.46848
   -14.38084     3.04279
   -14.37085     2.52534
   -14.36085     2.30260
   -14.35086     2.22474
   -14.34086     2.12685
   -14.33087     2.02339
   -14.32087     1.97339
   -14.31088     1.96415
   -14.30088     2.08355
   -14.29089     2.14798
   -14.28089     2.20662
   -14.27090     2.34246
   -14.26090     2.44086
   -14.25091     2.28812
   -14.24091     2.17808
   -14.23092     2.18740
   -14.22092     2.16746
   -14.21093     2.14807
   -14.20093     2.13105
   -14.19094     2.11625
   -14.18094     2.10352
   -14.17095     2.09269
   -14.16095     2.08295
   -14.15096     2.07339
   -14.14096     2.06306
   -14.13097     2.05365
   -14.12097     2.04928
   -14.11098     2.05237
   -14.10098     2.10384
   -14.09099     2.11652
   -14.08099     2.09304
   -14.07100     2.02783
   -14.06100     1.91388
   -14.05101     1.76807
   -14.04101     1.58750
   -14.03102     1.38996
   -14.02102     1.20577
   -14.01103     1.06115
   -14.00103     0.99079
   -13.99104     0.98915
   -13.98104     1.00415
   -13.97105     1.01932
   -13.96105     1.03341
   -13.95106     1.04742
   -13.94106     1.06149
   -13.93107     1.07569
   -13.92107     1.09009
   -13.91108     1.10475
   -13.90108     1.11975
   -13.89109     1.13515
   -13.88109     1.15103
   -13.87110     1.16745
   -13.86110     1.18449
   -13.85111     1.20222
   -13.84111     1.22070
   -13.83112     1.24001
   -13.82112     1.26021
   -13.81113     1.27954
   -13.80113     1.27994
   -13.79114     1.26421
   -13.78114     1.27211
   -13.77115     1.31673
   -13.76115     1.35768
   -13.75116     1.39452
   -13.74116     1.42859
   -13.73117     1.46063
   -13.72117     1.49126
   -13.71118     1.52111
   -13.70118     1.55084
   -13.69119     1.58563
   -13.68119     1.62518
   -13.67120     1.66549
   -13.66120     1.70185
   -13.65121     1.73652
   -13.64121     1.77365
   -13.63122     1.81457
   -13.62122     1.85945
   -13.61123     1.90847
   -13.60123     1.96184
   -13.59124     2.01973
   -13.58124     2.08021
   -13.57125     2.12700
   -13.56125     2.16394
   -13.55126     2.26644
   -13.54126     2.50960
   -13.53127     2.75534
   -13.52127     3.23681
   -13.51128     3.77053
   -13.50128     4.37168
   -13.49129     4.30391
   -13.48129     4.60510
   -13.47130     4.92469
   -13.46130     5.29298
   -13.45131     5.72127
   -13.44131     6.17690
   -13.43132     6.59848
   -13.42132     7.68357
   -13.41133    10.23178
   -13.40133    21.13149
   -13.39134    18.77445
   -13.38134    11.68919
   -13.37135     5.98213
   -13.36135     1.68319
   -13.35136     1.48885
   -13.34136     1.48155
   -13.33137     1.50599
   -13.32137     1.53854
   -13.31138     1.56576
   -13.30138     1.59291
   -13.29139     1.62027
   -13.28139     1.64818
   -13.27140     1.67702
   -13.26140     1.70716
   -13.25141     1.73894
   -13.24141     1.77275
   -13.23142     1.80893
   -13.22142     1.84786
   -13.21143     1.88855
   -13.20143     1.88275
   -13.19144     1.85581
   -13.18144     1.91881
   -13.17145     1.97982
   -13.16145     2.03299
   -13.15146     2.08093
   -13.14146     2.12628
   -13.13147     2.17907
   -13.12147     2.24546
   -13.11148     2.30870
   -13.10148     2.36860
   -13.09149     2.43349
   -13.08149     2.50507
   -13.07150     2.58407
   -13.06150     2.67124
   -13.05151     2.76735
   -13.04151     2.87278
   -13.03152     2.94241
   -13.02152     2.96608
   -13.01153     3.17059
   -13.00153     3.42245
   -12.99154     3.64112
   -12.98154     3.87058
   -12.97155     4.14083
   -12.96155     4.46740
   -12.95156     4.83001
   -12.94156     5.17858
   -12.93157     5.71002
   -12.92157     6.62308
   -12.91158     7.95744
   -12.90158    10.00318
   -12.89159     9.26399
   -12.88159     7.74306
   -12.87160     6.84437
   -12.86160     6.21698
   -12.85161     5.64900
   -12.84161     5.51109
   -12.83162     2.66567
   -12.82162     0.07002
   -12.81163     0.00000
   -12.80163     0.00000
   -12.79164     0.00000
   -12.78164     0.00000
   -12.77165     0.00000
   -12.76165     0.00000
   -12.75166     0.00000
   -12.74166     0.00000
   -12.73167     0.00000
   -12.72167     0.00000
   -12.71168     0.00000
   -12.70168     0.00000
   -12.69169     0.00000
   -12.68169     0.00000
   -12.67170     0.00000
   -12.66170     0.00000
   -12.65171     0.00000
   -12.64171     0.00000
   -12.63172     0.00000
   -12.62172     0.00000
   -12.61173     0.00000
   -12.60173     0.00000
   -12.59174     0.00000
   -12.58174     0.00000
   -12.57175     0.00000
   -12.56175     0.00000
   -12.55176     0.00000
   -12.54176     0.00000
   -12.53177     0.00000
   -12.52177     0.00000
   -12.51178     0.00000
   -12.50178     0.00000
   -12.49179     0.00000
   -12.48179     0.00000
   -12.47180     0.00000
   -12.46180     0.00000
   -12.45181     0.00000
   -12.44181     0.00000
   -12.43182     0.00000
   -12.42182     0.00000
   -12.41183     0.00000
   -12.40183     0.00000
   -12.39184     0.00000
   -12.38184     0.00000
   -12.37185     0.00000
   -12.36185     0.00000
   -12.35186     0.00000
   -12.34186     0.00000
   -12.33187     0.00000
   -12.32187     0.00000
   -12.31188     0.00000
   -12.30188     0.00000
   -12.29189     0.00000
   -12.28189     0.00000
   -12.27190     0.00000
   -12.26190     0.00000
   -12.25191     0.00000
   -12.24191     0.00000
   -12.23192     0.00000
   -12.22192     0.00000
   -12.21193     0.00000
   -12.20193     0.00000
   -12.19194     0.00000
   -12.18194     0.00000
   -12.17195     0.00000
   -12.16195     0.00000
   -12.15196     0.00000
   -12.14196     0.00000
   -12.13197     0.00000
   -12.12197     0.00000
   -12.11198     0.00000
   -12.10198     0.00000
   -12.09199     0.00000
   -12.08199     0.00000
   -12.07200     0.00000
   -12.06200     0.00000
   -12.05201     0.00000
   -12.04201     0.00000
   -12.03202     0.00000
   -12.02202     0.00000
   -12.01203     0.00000
   -12.00203     0.00000
   -11.99204     0.00000
   -11.98204     0.00000
   -11.97205     0.00000
   -11.96205     0.00000
   -11.95206     0.00000
   -11.94206     0.00000
   -11.93207     0.00000
   -11.92207     0.00000
   -11.91208     0.00000
   -11.90208     0.00000
   -11.89209     0.00000
   -11.88209     0.00000
   -11.87210     0.00000
   -11.86210     0.00000
   -11.85211     0.00000
   -11.84211     0.00000
   -11.83212     0.00000
   -11.82212     0.00000
   -11.81213     0.00000
   -11.80213     0.00000
   -11.79214     0.00000
   -11.78214     0.00000
   -11.77215     0.00000
   -11.76215     0.00000
   -11.75216     0.00000
   -11.74216     0.00000
   -11.73217     0.00000
   -11.72217     0.00000
   -11.71218     0.00000
   -11.70218     0.00000
   -11.69219     0.00000
   -11.68219     0.00000
   -11.67220     0.00000
   -11.66220     0.00000
   -11.65221     0.00000
   -11.64221     0.00000
   -11.63222     0.00000
   -11.62222     0.00000
   -11.61223     0.00000
   -11.60223     0.00000
   -11.59224     0.00000
   -11.58224     0.00000
   -11.57225     0.00000
   -11.56225     0.00000
   -11.55226     0.00000
   -11.54226     0.00000
   -11.53227     0.00000
   -11.52227     0.00000
   -11.51228     0.00000
   -11.50228     0.00000
   -11.49229     0.00000
   -11.48229     0.00000
   -11.47230     0.00000
   -11.46230     0.00000
   -11.45231     0.00000
   -11.44231     0.00000
   -11.43232     0.00000
   -11.42232     0.00000
   -11.41233     0.00000
   -11.40233     0.00000
   -11.39234     0.00000
   -11.38234     0.00000
   -11.37235     0.00000
   -11.36235     0.00000
   -11.35236     0.00000
   -11.34236     0.00000
   -11.33237     0.00000
   -11.32237     0.00000
   -11.31238     0.00000
   -11.30238     0.00000
   -11.29239     0.00000
   -11.28239     0.00000
   -11.27240     0.00000
   -11.26240     0.00000
   -11.25241     0.00000
   -11.24241     0.00000
   -11.23242     0.00000
   -11.22242     0.00000
   -11.21243     0.00000
   -11.20243     0.00000
   -11.19244     0.00000
   -11.18244     0.00000
   -11.17245     0.00000
   -11.16245     0.00000
   -11.15246     0.00000
   -11.14246     0.00000
   -11.13247     0.00000
   -11.12247     0.00000
   -11.11248     0.00000
   -11.10248     0.00000
   -11.09249     0.00000
   -11.08249     0.00000
   -11.07250     0.00000
   -11.06250     0.00000
   -11.05251     0.00000
   -11.04251     0.00000
   -11.03252     0.00000
   -11.02252     0.00000
   -11.01253     0.00000
   -11.00253     0.00000
   -10.99254     0.00000
   -10.98254     0.00000
   -10.97255     0.00000
   -10.96255     0.00000
   -10.95256     0.00000
   -10.94256     0.00000
   -10.93257     0.00000
   -10.92257     0.00000
   -10.91258     0.00000
   -10.90258     0.00000
   -10.89259     0.00000
   -10.88259     0.00000
   -10.87260     0.00000
   -10.86260     0.00000
   -10.85261     0.00000
   -10.84261     0.00000
   -10.83262     0.00000
   -10.82262     0.00000
   -10.81263     0.00000
   -10.80263     0.00000
   -10.79264     0.00000
   -10.78264     0.00000
   -10.77265     0.00000
   -10.76265     0.00000
   -10.75266     0.00000
   -10.74266     0.00000
   -10.73267     0.00000
   -10.72267     0.00000
   -10.71268     0.00000
   -10.70268     0.00000
   -10.69269     0.00000
   -10.68269     0.00000
   -10.67270     0.00000
   -10.66270     0.00000
   -10.65271     0.00000
   -10.64271     0.00000
   -10.63272     0.00000
   -10.62272     0.00000
   -10.61273     0.00000
   -10.60273     0.00000
   -10.59274     0.00000
   -10.58274     0.00000
   -10.57275     0.00000
   -10.56275     0.00000
   -10.55276     0.00000
   -10.54276     0.00000
   -10.53277     0.00000
   -10.52277     0.00000
   -10.51278     0.00000
   -10.50278     0.00000
   -10.49279     0.00000
   -10.48279     0.00000
   -10.47280     0.00000
   -10.46280     0.00000
   -10.45281     0.00000
   -10.44281     0.00000
   -10.43282     0.00000
   -10.42282     0.00000
   -10.41283     0.00000
   -10.40283     0.00000
   -10.39284     0.00000
   -10.38284     0.00000
   -10.37285     0.00000
   -10.36285     0.00000
   -10.35285     0.00000
   -10.34286     0.00000
   -10.33286     0.00000
   -10.32287     0.00000
   -10.31287     0.00000
   -10.30288     0.00000
   -10.29288     0.00000
   -10.28289     0.00000
   -10.27289     0.00000
   -10.26290     0.00000
   -10.25290     0.00000
   -10.24291     0.00000
   -10.23291     0.00000
   -10.22292     0.00000
   -10.21292     0.00000
   -10.20293     0.00000
   -10.19293     0.00000
   -10.18294     2.09001
   -10.17294    11.49342
   -10.16295    13.41379
   -10.15295    15.53799
   -10.14296    14.97112
   -10.13296    16.35421
   -10.12297    18.35638
   -10.11297    23.76396
   -10.10298    34.65752
   -10.09298    57.34679
   -10.08299    34.24985
   -10.07299    18.25958
   -10.06300    14.36834
   -10.05300    21.28587
   -10.04301    25.54874
   -10.03301    17.29183
   -10.02302    16.89530
   -10.01302    16.31104
   -10.00303    15.38165
    -9.99303    14.84901
    -9.98304    14.59201
    -9.97304    13.93330
    -9.96305    13.81236
    -9.95305    13.32518
    -9.94306    12.49675
    -9.93306    11.35688
    -9.92307    10.36741
    -9.91307    10.85214
    -9.90308    14.27788
    -9.89308    18.47442
    -9.88309    17.87685
    -9.87309    18.60643
    -9.86310    56.45247
    -9.85310    81.04739
    -9.84311    67.91874
    -9.83311    56.36130
    -9.82312    10.02556
    -9.81312    10.22648
    -9.80313    11.09886
    -9.79313    12.37879
    -9.78314    15.59587
    -9.77314    10.93844
    -9.76315     8.53849
    -9.75315     7.42379
    -9.74316     6.54228
    -9.73316     5.82434
    -9.72317     5.16845
    -9.71317     4.69340
    -9.70318     1.00726
    -9.69318     0.00000
    -9.68319     0.00000
    -9.67319     0.00000
    -9.66320     0.00000
    -9.65320     0.00000
    -9.64321     0.00000
    -9.63321     0.00000
    -9.62322     0.00000
    -9.61322     0.00000
    -9.60323     0.00000
    -9.59323     0.00000
    -9.58324     0.00000
    -9.57324     0.00000
    -9.56325     0.00000
    -9.55325     0.00000
    -9.54326     0.00000
    -9.53326     0.00000
    -9.52327     0.00000
    -9.51327     0.00000
    -9.50328     0.00000
    -9.49328     0.00000
    -9.48329     0.00000
    -9.47329     0.00000
    -9.46330     0.00000
    -9.45330     0.00000
    -9.44331     0.00000
    -9.43331     0.00000
    -9.42332     0.00000
    -9.41332     0.00000
    -9.40333     0.00000
    -9.39333     0.00000
    -9.38334     0.00000
    -9.37334     0.00000
    -9.36335     0.00000
    -9.35335     0.00000
    -9.34336     0.00000
    -9.33336     0.00000
    -9.32337     0.00000
    -9.31337     0.00000
    -9.30338     0.00000
    -9.29338     0.00000
    -9.28339     0.00000
    -9.27339     0.00000
    -9.26340     0.00000
    -9.25340     0.00000
    -9.24341     0.00000
    -9.23341     0.00000
    -9.22342     0.00000
    -9.21342     0.00000
    -9.20343     0.00000
    -9.19343     0.00000
    -9.18344     0.00000
    -9.17344     0.00000
    -9.16345     0.00000
    -9.15345     0.00000
    -9.14346     0.00000
    -9.13346     0.00000
    -9.12347     0.00000
    -9.11347     0.00000
    -9.10348     0.00000
    -9.09348     0.00000
    -9.08349     0.00000
    -9.07349     0.00000
    -9.06350     0.00000
    -9.05350     0.00000
    -9.04351     0.00000
    -9.03351     0.00000
    -9.02352     0.00000
    -9.01352     0.00000
    -9.00353     0.00000
    -8.99353     0.00000
    -8.98354     0.00000
    -8.97354     0.00000
    -8.96355     0.00000
    -8.95355     0.00000
    -8.94356     0.00000
    -8.93356     0.00000
    -8.92357     0.00000
    -8.91357     0.00000
    -8.90358     0.00000
    -8.89358     0.00000
    -8.88359     0.00000
    -8.87359     0.00000
    -8.86360     0.00000
    -8.85360     0.00000
    -8.84361     0.00000
    -8.83361     0.00000
    -8.82362     0.00000
    -8.81362     0.00000
    -8.80363     0.00000
    -8.79363    -0.00000
    -8.78364    -0.00000
    -8.77364     0.00011
    -8.76365     0.00086
    -8.75365     0.00392
    -8.74366     0.01401
    -8.73366     0.04296
    -8.72367     0.10985
    -8.71367     0.21681
    -8.70368     0.36439
    -8.69368     0.55312
    -8.68369     0.78354
    -8.67369     1.06529
    -8.66370     1.42037
    -8.65370     1.70189
    -8.64371     1.72217
    -8.63371     1.94703
    -8.62372     2.11097
    -8.61372     2.22610
    -8.60373     2.33128
    -8.59373     2.43028
    -8.58374     2.51620
    -8.57374     2.60882
    -8.56375     2.86762
    -8.55375     3.19453
    -8.54376     3.46400
    -8.53376     3.67190
    -8.52377     3.82258
    -8.51377     3.91458
    -8.50378     3.92502
    -8.49378     3.91026
    -8.48379     3.95529
    -8.47379     3.50030
    -8.46380     3.02909
    -8.45380     2.55415
    -8.44381     2.23087
    -8.43381     2.04928
    -8.42382     1.93352
    -8.41382     1.81475
    -8.40383     1.72634
    -8.39383     1.68560
    -8.38384     1.64811
    -8.37384     1.63076
    -8.36385     1.60941
    -8.35385     1.58192
    -8.34386     1.55597
    -8.33386     1.53156
    -8.32387     1.50869
    -8.31387     1.48737
    -8.30388     1.46759
    -8.29388     1.44936
    -8.28389     1.43268
    -8.27389     1.41755
    -8.26390     1.40398
    -8.25390     1.39196
    -8.24391     1.38150
    -8.23391     1.37259
    -8.22392     1.36526
    -8.21392     1.35949
    -8.20393     1.35502
    -8.19393     1.35051
    -8.18394     1.34389
    -8.17394     1.33564
    -8.16395     1.32714
    -8.15395     1.33111
    -8.14396     1.34567
    -8.13396     1.42140
    -8.12397     1.50275
    -8.11397     1.60800
    -8.10398     1.78343
    -8.09398     2.01646
    -8.08399     2.29333
    -8.07399     2.57367
    -8.06400     2.83043
    -8.05400     3.06091
    -8.04401     3.46057
    -8.03401     4.15522
    -8.02402     4.94940
    -8.01402    12.35454
    -8.00403    14.44371
    -7.99403    13.61482
    -7.98404    15.10125
    -7.97404    17.14591
    -7.96405    15.47477
    -7.95405    11.57816
    -7.94406    11.21385
    -7.93406    20.72863
    -7.92407    48.48641
    -7.91407    37.43434
    -7.90408    29.51255
    -7.89408    20.54648
    -7.88409    23.34082
    -7.87409    32.15251
    -7.86410    41.22636
    -7.85410    98.83245
    -7.84411    18.14888
    -7.83411     2.79163
    -7.82412     2.22214
