# energy s p d
-1.965981761000000105e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.965651761000000164e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.965311760999999890e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.964981760999999949e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.964651761000000008e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.964311761000000089e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.963981761000000148e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.963651760999999851e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.963311760999999933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.962981760999999992e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.962651761000000050e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.962311761000000132e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.961981761000000191e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.961651760999999894e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.961311760999999976e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.960981761000000034e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.960651761000000093e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.960311761000000175e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.959981760999999878e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.959651760999999937e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.959311761000000018e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.958981761000000077e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
