    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
   -14.67731     1.63592
   -14.66732     1.58235
   -14.65732     1.53287
   -14.64733     1.48748
   -14.63733     1.44617
   -14.62734     1.40869
   -14.61734     1.37249
   -14.60735     1.32727
   -14.59735     1.28034
   -14.58736     1.23490
   -14.57736     1.19092
   -14.56737     1.14843
   -14.55737     1.10741
   -14.54738     1.06786
   -14.53738     1.02979
   -14.52739     0.99319
   -14.51739     0.95901
   -14.50740     0.94363
   -14.49740     1.02030
   -14.48741     1.31870
   -14.47741     1.98179
   -14.46742     2.51790
   -14.45742     3.35267
   -14.44743     4.41962
   -14.43743     5.08842
   -14.42744     5.80587
   -14.41744     6.45802
   -14.40745     7.03318
   -14.39745     7.52775
   -14.38746     7.89070
   -14.37746     8.15899
   -14.36747     8.42626
   -14.35747     8.55620
   -14.34748     9.35633
   -14.33748     6.74995
   -14.32749     6.79121
   -14.31749     6.69019
   -14.30750     6.52638
   -14.29750     6.46154
   -14.28751     6.58536
   -14.27751     6.64975
   -14.26752     6.69187
   -14.25752     6.70990
   -14.24753     6.70383
   -14.23753     6.67693
   -14.22754     6.57112
   -14.21754     6.35878
   -14.20755     6.33828
   -14.19755     6.55354
   -14.18756     6.64173
   -14.17756     6.61110
   -14.16757     6.41110
   -14.15757     6.06266
   -14.14758     5.77515
   -14.13758     5.82538
   -14.12759     6.08197
   -14.11759     6.45308
   -14.10760     8.60121
   -14.09760    11.43623
   -14.08761    10.38397
   -14.07761     9.15715
   -14.06762    10.40142
   -14.05762    10.55145
   -14.04763     9.02487
   -14.03763     9.61241
   -14.02764    10.24590
   -14.01764    11.30408
   -14.00765    12.99449
   -13.99765    14.89211
   -13.98766    13.89664
   -13.97766    13.84096
   -13.96767    11.56358
   -13.95767    11.40831
   -13.94768    11.40244
   -13.93768    11.56981
   -13.92769    11.64683
   -13.91769    11.63503
   -13.90770    12.02700
   -13.89770    15.66351
   -13.88771    19.84804
   -13.87771    19.58061
   -13.86772    18.32796
   -13.85772    16.16378
   -13.84773    14.64081
   -13.83773    12.19065
   -13.82774    10.83416
   -13.81774    10.23098
   -13.80775    10.65894
   -13.79775     9.41432
   -13.78776     9.72891
   -13.77776    10.11397
   -13.76777    11.00748
   -13.75777    12.35511
   -13.74778    11.53946
   -13.73778    15.02249
   -13.72779    16.92942
   -13.71779    16.50847
   -13.70780    14.40770
   -13.69780    12.60268
   -13.68781    10.88450
   -13.67781     9.52034
   -13.66782     8.71940
   -13.65782     8.74760
   -13.64783     9.91961
   -13.63783    11.15830
   -13.62784    12.45956
   -13.61784    13.90159
   -13.60785    13.75735
   -13.59785    12.53341
   -13.58786    19.74602
   -13.57786    28.55076
   -13.56787    33.73726
   -13.55787    30.22531
   -13.54788    27.80621
   -13.53788    26.08062
   -13.52789    28.69791
   -13.51789    27.57194
   -13.50790    29.87331
   -13.49790    23.30691
   -13.48791    14.49344
   -13.47791    12.77811
   -13.46792    10.17459
   -13.45792     7.53574
   -13.44793     4.45964
   -13.43793     1.51525
   -13.42794     0.15421
   -13.41794     0.00000
   -13.40795     0.00000
   -13.39795     0.00000
   -13.38796     0.00000
   -13.37796     0.00000
   -13.36797     0.00000
   -13.35797     0.00000
   -13.34798     0.00000
   -13.33798     0.00000
   -13.32799     0.00000
   -13.31799     0.00000
   -13.30800     0.00000
   -13.29800     0.00000
   -13.28801     0.00000
   -13.27801     0.00000
   -13.26802     0.00000
   -13.25802     0.00000
   -13.24803     0.00000
   -13.23803     0.00000
   -13.22804     0.00000
   -13.21804     0.00000
   -13.20805     0.00000
   -13.19805     0.00000
   -13.18806     0.00000
   -13.17806     0.00000
   -13.16807     0.00000
   -13.15807     0.00000
   -13.14808     0.00000
   -13.13808     0.00000
   -13.12809     0.00000
   -13.11809     0.00000
   -13.10810     0.00000
   -13.09810     0.00000
   -13.08811     0.00000
   -13.07811     0.00000
   -13.06812     0.00000
   -13.05812     0.00000
   -13.04813     0.00000
   -13.03813     0.00000
   -13.02814     0.00000
   -13.01814     0.00000
   -13.00815     0.00000
   -12.99815     0.00000
   -12.98816     0.00000
   -12.97816     0.00000
   -12.96817     0.00000
   -12.95817     0.00000
   -12.94818     0.00000
   -12.93818     0.00000
   -12.92819     0.00000
   -12.91819     0.00000
   -12.90820     0.00000
   -12.89820     0.00000
   -12.88821     0.00000
   -12.87821     0.00000
   -12.86822     0.00000
   -12.85822     0.00000
   -12.84823     0.00000
   -12.83823     0.00000
   -12.82824     0.00000
   -12.81824     0.00000
   -12.80825     0.00000
   -12.79825     0.00000
   -12.78826     0.00000
   -12.77826     0.00000
   -12.76827     0.00000
   -12.75827     0.00000
   -12.74828     0.00000
   -12.73828     0.00000
   -12.72829     0.00000
   -12.71829     0.00000
   -12.70830     0.00000
   -12.69830     0.00000
   -12.68831     0.00000
   -12.67831     0.00000
   -12.66832     0.00000
   -12.65832     0.00000
   -12.64833     0.00000
   -12.63833     0.00000
   -12.62834     0.00000
   -12.61834     0.00000
   -12.60835     0.00000
   -12.59835     0.00000
   -12.58836     0.00000
   -12.57836     0.00000
   -12.56837     0.00000
   -12.55837     0.00000
   -12.54838     0.00000
   -12.53838     0.00000
   -12.52839     0.00000
   -12.51839     0.00000
   -12.50840     0.00000
   -12.49840     0.00000
   -12.48841     0.00000
   -12.47841     0.00000
   -12.46842     0.00000
   -12.45842     0.00000
   -12.44843     0.00000
   -12.43843     0.00000
   -12.42844     0.00000
   -12.41844     0.00000
   -12.40845     0.00000
   -12.39845     0.00000
   -12.38846     0.00000
   -12.37846     0.00000
   -12.36847     0.00000
   -12.35847     0.00000
   -12.34848     0.00000
   -12.33848     0.00000
   -12.32849     0.00000
   -12.31849     0.00000
   -12.30850     0.00000
   -12.29850     0.00000
   -12.28851     0.00000
   -12.27851     0.00000
   -12.26852     0.00000
   -12.25852     0.00000
   -12.24853     0.00000
   -12.23853     0.00000
   -12.22854     0.00000
   -12.21854     0.00000
   -12.20855     0.00000
   -12.19855     0.00000
   -12.18856     0.00000
   -12.17856     0.00000
   -12.16857     0.00000
   -12.15857     0.00000
   -12.14858     0.00000
   -12.13858     0.00000
   -12.12859     0.00000
   -12.11859     0.00000
   -12.10860     0.00000
   -12.09860     0.00000
   -12.08861     0.00000
   -12.07861     0.00000
   -12.06862     0.00000
   -12.05862     0.00000
   -12.04863     0.00000
   -12.03863     0.00000
   -12.02864     0.00000
   -12.01864     0.00000
   -12.00865     0.00000
   -11.99865     0.00000
   -11.98866     0.00000
   -11.97866     0.00000
   -11.96867     0.00000
   -11.95867     0.00000
   -11.94868     0.00000
   -11.93868     0.00000
   -11.92869     0.00000
   -11.91869     0.00000
   -11.90870     0.00000
   -11.89870     0.00000
   -11.88871     0.00000
   -11.87871     0.00000
   -11.86872     0.00000
   -11.85872     0.00000
   -11.84873     0.00000
   -11.83873     0.00000
   -11.82874     0.00000
   -11.81874     0.00000
   -11.80875     0.00000
   -11.79875     0.00000
   -11.78876     0.00000
   -11.77876     0.00000
   -11.76877     0.00000
   -11.75877     0.00000
   -11.74878     0.00000
   -11.73878     0.00000
   -11.72879     0.00000
   -11.71879     0.00000
   -11.70880     0.00000
   -11.69880     0.00000
   -11.68881     0.00000
   -11.67881     0.00000
   -11.66882     0.00000
   -11.65882     0.00000
   -11.64883     0.00000
   -11.63883     0.00000
   -11.62884     0.00000
   -11.61884     0.00000
   -11.60885     0.00000
   -11.59885     0.00000
   -11.58886     0.00000
   -11.57886     0.00000
   -11.56887     0.00000
   -11.55887     0.00000
   -11.54888     0.00000
   -11.53888     0.00000
   -11.52889     0.00000
   -11.51889     0.00000
   -11.50890     0.00000
   -11.49890     0.00000
   -11.48891     0.00000
   -11.47891     0.00000
   -11.46892     0.00000
   -11.45892     0.00000
   -11.44893     0.00000
   -11.43893     0.00000
   -11.42894     0.00000
   -11.41894     0.00000
   -11.40895     0.00000
   -11.39895     0.00000
   -11.38896     0.00000
   -11.37896     0.00000
   -11.36897     0.00000
   -11.35897     0.00000
   -11.34898     0.00000
   -11.33898     0.00000
   -11.32899     0.00000
   -11.31899     0.00000
   -11.30900     0.00000
   -11.29900     0.00000
   -11.28901     0.00000
   -11.27901     0.00000
   -11.26902     0.00000
   -11.25902     0.00000
   -11.24903     0.00000
   -11.23903     0.00000
   -11.22904     0.00000
   -11.21904     0.00000
   -11.20905     0.00000
   -11.19905     0.00000
   -11.18906     0.00000
   -11.17906     0.00000
   -11.16907     0.00000
   -11.15907     0.00000
   -11.14908     0.00000
   -11.13908     0.00000
   -11.12909     0.00000
   -11.11909     0.00000
   -11.10910     0.00000
   -11.09910     0.00000
