#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  91  64
# Band-Index:    1
   0.00000    -16.102432  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.03311    -16.099716  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.06622    -16.091561  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.09933    -16.077994  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.13243    -16.059064  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.16554    -16.034847  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.19865    -16.005431  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.23176    -15.970957  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.26487    -15.931539  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.018
   0.29798    -15.887338  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.33109    -15.838552  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.36419    -15.785407  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.39730    -15.728160  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.43041    -15.667118  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.46352    -15.602614  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.016
   0.49663    -15.535026  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.014
   0.52974    -15.464800  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.014
   0.56285    -15.392432  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.59595    -15.318461  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.62906    -15.243563  0.002  0.005  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.62906    -15.243563  0.002  0.005  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.66613    -15.245200  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.70320    -15.250428  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.74027    -15.260169  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.014
   0.77733    -15.275808  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.012
