#k-distance eigenvalue[eV]
0.00000000 -15.24650000
0.03310860 -15.24380000
0.06621719 -15.23560000
0.09932579 -15.22200000
0.13243438 -15.20310000
0.16554298 -15.17890000
0.19865158 -15.14950000
0.23176017 -15.11500000
0.26486877 -15.07560000
0.29797736 -15.03140000
0.33108595 -14.98260000
0.36419454 -14.92940000
0.39730314 -14.87220000
0.43041174 -14.81120000
0.46352033 -14.74670000
0.49662893 -14.67910000
0.52973752 -14.60880000
0.56284612 -14.53650000
0.59595472 -14.46250000
0.62906331 -14.38760000
0.62906331 -14.38760000
0.66613123 -14.38920000
0.70319913 -14.39450000
0.74026705 -14.40420000
0.77733496 -14.41990000
0.81440287 -14.44290000
0.85147078 -14.47460000
0.85147078 -14.47460000
0.88324328 -14.50890000
0.91501577 -14.54940000
0.94678827 -14.59530000
0.97856076 -14.64520000
1.01033326 -14.69780000
1.04210575 -14.75180000
1.07387825 -14.80610000
1.10565075 -14.85960000
1.13742324 -14.91140000
1.16919574 -14.96100000
1.20096823 -15.00770000
1.23274072 -15.05110000
1.26451321 -15.09070000
1.29628571 -15.12630000
1.32805821 -15.15760000
1.35983070 -15.18450000
1.39160320 -15.20660000
1.42337569 -15.22400000
1.45514819 -15.23650000
1.48692068 -15.24400000
1.51869318 -15.24650000
1.51869318 -15.24650000
1.55073934 -15.24390000
1.58278551 -15.23630000
1.61483167 -15.22360000
1.64687784 -15.20600000
1.67892400 -15.18350000
1.71097017 -15.15640000
1.74301633 -15.12480000
1.77506251 -15.08900000
1.80710867 -15.04950000
1.83915484 -15.00680000
1.87120100 -14.96170000
1.90324717 -14.91520000
1.93529333 -14.86890000
1.96733950 -14.82540000
1.99938566 -14.78830000
2.03143183 -14.76250000
2.06347799 -14.75320000
2.06347799 -14.75320000
2.09769453 -14.75050000
2.13191106 -14.74250000
2.16612759 -14.72920000
2.20034413 -14.71070000
2.23456066 -14.68720000
2.26877720 -14.65890000
2.30299372 -14.62610000
2.33721025 -14.58920000
2.37142679 -14.54870000
2.40564332 -14.50510000
2.43985986 -14.45940000
2.47407639 -14.41250000
2.50829292 -14.36580000
2.50829292 -14.36580000
2.54324089 -14.36650000
2.57818885 -14.36850000
2.61313681 -14.37150000
2.64808477 -14.37510000
2.68303274 -14.37890000
2.71798070 -14.38240000
2.75292865 -14.38520000
2.78787662 -14.38700000
2.82282458 -14.38760000

0.00000000 -13.56880000
0.03310860 -13.57100000
0.06621719 -13.57730000
0.09932579 -13.58800000
0.13243438 -13.60310000
0.16554298 -13.62270000
0.19865158 -13.64690000
0.23176017 -13.67610000
0.26486877 -13.71020000
0.29797736 -13.74960000
0.33108595 -13.79430000
0.36419454 -13.84450000
0.39730314 -13.89980000
0.43041174 -13.96010000
0.46352033 -14.02470000
0.49662893 -14.09300000
0.52973752 -14.16430000
0.56284612 -14.23770000
0.59595472 -14.31240000
0.62906331 -14.38760000
0.62906331 -14.38760000
