#k-distance eigenvalue[eV]
0.00000000 -16.60530000
0.04406171 -16.60580000
0.08812342 -16.60700000
0.13218513 -16.60830000
0.17624684 -16.60980000
0.22030856 -16.61130000
0.26437027 -16.61280000
0.30843198 -16.61450000
0.35249369 -16.61600000
0.39655540 -16.61740000
0.44061710 -16.61890000
0.48467881 -16.62030000
0.52874052 -16.62150000
0.57280223 -16.62260000
0.61686394 -16.62360000
0.66092565 -16.62450000
0.70498736 -16.62510000
0.74904907 -16.62560000
0.79311079 -16.62590000
0.83717250 -16.62600000
0.83717250 -16.62600000
0.88748512 -16.62600000
0.93779772 -16.62600000
0.98811034 -16.62600000
1.03842296 -16.62600000
1.08873557 -16.62590000
1.13904819 -16.62590000
1.13904819 -16.62590000
1.18458437 -16.62580000
1.23012055 -16.62560000
1.27565673 -16.62530000
1.32119292 -16.62470000
1.36672910 -16.62390000
1.41226528 -16.62310000
1.45780144 -16.62220000
1.50333762 -16.62130000
1.54887381 -16.62030000
1.59440999 -16.61940000
1.63994617 -16.61840000
1.68548235 -16.61780000
1.73101854 -16.61760000
1.73101854 -16.61760000
1.77531841 -16.61740000
1.81961830 -16.61720000
1.86391817 -16.61680000
1.90821805 -16.61620000
1.95251793 -16.61540000
1.99681781 -16.61450000
2.04111768 -16.61350000
2.08541757 -16.61240000
2.12971744 -16.61130000
2.17401732 -16.61010000
2.21831720 -16.60890000
2.26261708 -16.60770000
2.30691695 -16.60660000
2.35121684 -16.60580000
2.39551671 -16.60530000
2.39551671 -16.60530000
2.43864182 -16.60540000
2.48176691 -16.60580000
2.52489201 -16.60600000
2.56801710 -16.60670000
2.61114221 -16.60740000
2.65426730 -16.60810000
2.69739240 -16.60890000
2.74051751 -16.60940000
2.78364260 -16.61020000
2.82676770 -16.61080000
2.86989279 -16.61130000
2.91301790 -16.61150000
2.95614299 -16.61180000
2.99926809 -16.61190000
2.99926809 -16.61190000
3.04795325 -16.61220000
3.09663838 -16.61260000
3.14532354 -16.61350000
3.19400870 -16.61460000
3.24269385 -16.61580000
3.29137899 -16.61700000
3.34006414 -16.61820000
3.38874930 -16.61910000
3.43743443 -16.61990000
3.43743443 -16.61990000
3.48130351 -16.62050000
3.52517261 -16.62080000
3.56904169 -16.62090000
3.61291076 -16.62060000
3.65677984 -16.62000000
3.70064891 -16.61910000
3.74451799 -16.61820000
3.78838709 -16.61700000
3.83225616 -16.61560000
3.87612524 -16.61420000
3.91999431 -16.61270000
3.96386339 -16.61120000
4.00773247 -16.60960000
4.05160157 -16.60820000
4.09547064 -16.60680000
4.13933972 -16.60580000
4.18320879 -16.60530000
4.18320879 -16.62600000
4.23758671 -16.62600000
4.29196465 -16.62560000
4.34634257 -16.62500000
4.40072049 -16.62430000
4.40072049 -16.62430000
4.44498198 -16.62370000
4.48924346 -16.62290000
4.53350495 -16.62200000
4.57776643 -16.62090000
4.62202793 -16.61970000
4.66628940 -16.61860000
4.71055090 -16.61750000
4.75481237 -16.61630000
4.79907387 -16.61500000
4.84333535 -16.61410000
4.88759684 -16.61320000
4.93185832 -16.61240000
4.97611981 -16.61200000
5.02038129 -16.61190000

0.00000000 -16.60530000
0.04406171 -16.60520000
0.08812342 -16.60510000
0.13218513 -16.60470000
0.17624684 -16.60430000
0.22030856 -16.60380000
0.26437027 -16.60330000
0.30843198 -16.60310000
0.35249369 -16.60290000
0.39655540 -16.60270000
0.44061710 -16.60280000
0.48467881 -16.60300000
0.52874052 -16.60300000
0.57280223 -16.60330000
0.61686394 -16.60350000
0.66092565 -16.60380000
0.70498736 -16.60390000
0.74904907 -16.60410000
0.79311079 -16.60410000
0.83717250 -16.60420000
0.83717250 -16.60420000
0.88748512 -16.60420000
0.93779772 -16.60420000
0.98811034 -16.60420000
1.03842296 -16.60420000
1.08873557 -16.60410000
1.13904819 -16.60410000
1.13904819 -16.60410000
1.18458437 -16.60410000
1.23012055 -16.60420000
1.27565673 -16.60420000
1.32119292 -16.60430000
1.36672910 -16.60440000
1.41226528 -16.60470000
1.45780144 -16.60530000
1.50333762 -16.60610000
1.54887381 -16.60690000
1.59440999 -16.60780000
1.63994617 -16.60870000
1.68548235 -16.60940000
1.73101854 -16.60960000
1.73101854 -16.60960000
1.77531841 -16.60950000
1.81961830 -16.60930000
1.86391817 -16.60900000
1.90821805 -16.60850000
1.95251793 -16.60810000
1.99681781 -16.60750000
2.04111768 -16.60700000
2.08541757 -16.60640000
2.12971744 -16.60600000
2.17401732 -16.60570000
2.21831720 -16.60550000
2.26261708 -16.60540000
2.30691695 -16.60530000
2.35121684 -16.60540000
2.39551671 -16.60530000
2.39551671 -16.60530000
2.43864182 -16.60540000
2.48176691 -16.60580000
2.52489201 -16.60600000
2.56801710 -16.60670000
2.61114221 -16.60740000
2.65426730 -16.60810000
2.69739240 -16.60890000
2.74051751 -16.60940000
2.78364260 -16.61020000
2.82676770 -16.61080000
2.86989279 -16.61130000
2.91301790 -16.61150000
2.95614299 -16.61180000
2.99926809 -16.61190000
2.99926809 -16.61190000
3.04795325 -16.61180000
3.09663838 -16.61180000
3.14532354 -16.61150000
3.19400870 -16.61110000
3.24269385 -16.61060000
3.29137899 -16.61030000
3.34006414 -16.60970000
3.38874930 -16.60910000
3.43743443 -16.60850000
3.43743443 -16.60850000
3.48130351 -16.60810000
3.52517261 -16.60760000
3.56904169 -16.60720000
3.61291076 -16.60680000
3.65677984 -16.60630000
3.70064891 -16.60580000
3.74451799 -16.60550000
3.78838709 -16.60530000
3.83225616 -16.60500000
3.87612524 -16.60500000
3.91999431 -16.60510000
3.96386339 -16.60510000
