#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  84  76
# Band-Index:    1
   0.00000    -16.573470  0.002  0.000  0.000  0.000  0.000  0.004  0.229  0.011  0.578  0.821
   0.03287    -16.572857  0.000  0.000  0.000  0.000  0.000  0.000  0.202  0.016  0.604  0.822
   0.06574    -16.571059  0.000  0.000  0.000  0.000  0.000  0.000  0.201  0.016  0.606  0.822
   0.09861    -16.568080  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.822
   0.13148    -16.563845  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.16435    -16.558394  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.19722    -16.551710  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.23009    -16.543785  0.000  0.000  0.000  0.000  0.000  0.000  0.201  0.016  0.606  0.824
   0.26297    -16.534589  0.000  0.000  0.000  0.000  0.000  0.000  0.203  0.016  0.608  0.824
   0.29584    -16.524126  0.000  0.000  0.000  0.000  0.000  0.000  0.203  0.016  0.608  0.828
   0.32871    -16.513304  0.000  0.000  0.000  0.000  0.004  0.008  0.484  0.000  0.338  0.834
   0.36158    -16.502483  0.000  0.000  0.000  0.000  0.004  0.006  0.500  0.000  0.322  0.834
   0.39445    -16.491542  0.000  0.000  0.000  0.000  0.004  0.006  0.522  0.000  0.306  0.838
   0.42732    -16.480797  0.000  0.000  0.000  0.000  0.004  0.005  0.544  0.000  0.286  0.840
   0.46019    -16.470737  0.000  0.000  0.000  0.000  0.002  0.004  0.568  0.000  0.266  0.842
   0.49306    -16.461896  0.000  0.000  0.000  0.000  0.002  0.002  0.592  0.000  0.246  0.844
   0.52593    -16.454921  0.000  0.000  0.000  0.000  0.002  0.002  0.612  0.000  0.228  0.848
   0.55880    -16.450405  0.000  0.000  0.000  0.000  0.002  0.002  0.626  0.000  0.216  0.846
   0.59167    -16.448836  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
   0.59167    -16.448836  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
   0.63351    -16.452417  0.000  0.000  0.000  0.000  0.002  0.002  0.612  0.000  0.228  0.846
   0.67535    -16.461187  0.000  0.000  0.000  0.000  0.002  0.002  0.582  0.002  0.256  0.844
   0.71719    -16.472247  0.000  0.000  0.000  0.000  0.002  0.002  0.556  0.002  0.278  0.840
   0.75902    -16.483944  0.000  0.000  0.000  0.000  0.002  0.002  0.540  0.002  0.290  0.838
   0.80086    -16.495480  0.000  0.000  0.000  0.000  0.002  0.002  0.530  0.002  0.298  0.834
   0.80086    -16.495483  0.000  0.000  0.000  0.000  0.002  0.002  0.180  0.002  0.646  0.834
   0.83389    -16.504256  0.000  0.000  0.000  0.000  0.002  0.004  0.188  0.004  0.636  0.832
   0.86692    -16.512602  0.000  0.000  0.000  0.000  0.000  0.004  0.192  0.004  0.628  0.832
   0.89995    -16.520442  0.000  0.000  0.000  0.000  0.000  0.004  0.196  0.004  0.624  0.828
   0.93298    -16.527777  0.000  0.000  0.000  0.000  0.000  0.004  0.198  0.004  0.620  0.826
   0.96601    -16.534498  0.000  0.000  0.000  0.000  0.000  0.004  0.198  0.004  0.616  0.826
   0.99904    -16.540650  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.614  0.824
   1.03207    -16.546198  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.612  0.824
   1.06510    -16.551155  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.612  0.822
   1.09813    -16.555530  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.610  0.822
   1.13116    -16.559342  0.002  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.608  0.822
   1.16419    -16.562617  0.002  0.000  0.000  0.000  0.000  0.006  0.200  0.006  0.608  0.822
   1.19722    -16.565380  0.002  0.000  0.000  0.000  0.000  0.006  0.200  0.006  0.608  0.820
   1.23025    -16.567686  0.002  0.000  0.000  0.000  0.000  0.007  0.200  0.007  0.606  0.822
   1.26328    -16.569539  0.002  0.000  0.000  0.000  0.000  0.008  0.200  0.008  0.606  0.822
   1.29631    -16.570995  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.606  0.822
   1.32934    -16.572095  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.604  0.822
   1.36237    -16.572859  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.604  0.821
   1.39539    -16.573309  0.002  0.000  0.000  0.000  0.000  0.008  0.201  0.008  0.604  0.821
   1.42842    -16.573470  0.002  0.000  0.000  0.000  0.000  0.004  0.229  0.011  0.578  0.821
   1.42842    -16.573470  0.002  0.000  0.000  0.000  0.000  0.004  0.229  0.011  0.578  0.821
   1.46045    -16.573460  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.822
   1.49247    -16.573471  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.821
   1.52450    -16.573497  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.821
   1.55653    -16.573520  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.821
   1.58855    -16.573575  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.820
   1.62058    -16.573625  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.820
   1.65260    -16.573676  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.819
   1.68463    -16.573756  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.819
   1.71665    -16.573839  0.000  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.818
   1.74868    -16.573934  0.000  0.000  0.000  0.000  0.003  0.003  0.403  0.003  0.404  0.818
   1.78070    -16.574017  0.000  0.000  0.000  0.000  0.003  0.003  0.403  0.003  0.404  0.817
   1.81273    -16.574096  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.817
