#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  84  76
# Band-Index:    1
   0.00000    -16.573470  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.03287    -16.572857  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.06574    -16.571059  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.09861    -16.568080  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.13148    -16.563845  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.16435    -16.558394  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.19722    -16.551710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.23009    -16.543785  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.26297    -16.534589  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.29584    -16.524126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.32871    -16.513304  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.36158    -16.502483  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.39445    -16.491542  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.42732    -16.480797  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.46019    -16.470737  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.49306    -16.461896  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.52593    -16.454921  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.55880    -16.450405  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.59167    -16.448836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.59167    -16.448836  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.63351    -16.452417  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.67535    -16.461187  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.71719    -16.472247  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.75902    -16.483944  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.80086    -16.495480  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.80086    -16.495483  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.83389    -16.504256  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.86692    -16.512602  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.89995    -16.520442  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.93298    -16.527777  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.96601    -16.534498  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.99904    -16.540650  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.03207    -16.546198  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.06510    -16.551155  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.09813    -16.555530  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.13116    -16.559342  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.16419    -16.562617  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.19722    -16.565380  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.23025    -16.567686  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.26328    -16.569539  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.29631    -16.570995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.32934    -16.572095  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.36237    -16.572859  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.39539    -16.573309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   1.42842    -16.573470  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
