     #Energy            s           py          pz          px          dxy         dyz         dz2         dxz         dx2-y2      tot    
    # PDOS obtained from EIGENVAL and PROCAR files
   -14.40669     0.56930     0.04888     0.06825     0.05456     0.03140     0.01556     0.09841     0.01556     0.01948     0.94282
   -14.39670     0.63881     0.05546     0.07579     0.06390     0.03616     0.01782     0.10422     0.01782     0.02163     1.05765
   -14.38670     0.65639     0.05645     0.07703     0.06724     0.03840     0.01877     0.10019     0.01877     0.02180     1.08460
   -14.37671     0.62078     0.05344     0.07271     0.06515     0.03725     0.01804     0.08895     0.01804     0.01997     1.02456
   -14.36671     0.42143     0.04100     0.05324     0.04707     0.02413     0.01132     0.06307     0.01132     0.01241     0.70355
   -14.35672     0.32823     0.03552     0.04455     0.03875     0.01796     0.00811     0.05134     0.00811     0.00871     0.55428
   -14.34672     0.30664     0.03440     0.04273     0.03741     0.01674     0.00744     0.04696     0.00744     0.00775     0.51995
   -14.33673     0.28359     0.03313     0.04071     0.03585     0.01538     0.00674     0.04261     0.00674     0.00683     0.48324
   -14.32673     0.26157     0.03187     0.03872     0.03434     0.01404     0.00608     0.03855     0.00608     0.00603     0.44820
   -14.31674     0.24045     0.03064     0.03678     0.03287     0.01272     0.00548     0.03475     0.00548     0.00535     0.41466
   -14.30674     0.22082     0.02949     0.03498     0.03148     0.01147     0.00494     0.03130     0.00494     0.00478     0.38354
   -14.29675     0.20557     0.02858     0.03369     0.03035     0.01050     0.00445     0.02859     0.00445     0.00427     0.35927
   -14.28675     0.19143     0.02777     0.03251     0.02933     0.00959     0.00400     0.02614     0.00400     0.00383     0.33689
   -14.27676     0.17816     0.02706     0.03143     0.02841     0.00871     0.00360     0.02393     0.00360     0.00345     0.31607
   -14.26676     0.16853     0.02673     0.03087     0.02788     0.00806     0.00327     0.02233     0.00327     0.00310     0.30134
   -14.25677     0.16136     0.02678     0.03073     0.02772     0.00754     0.00300     0.02118     0.00300     0.00277     0.29105
   -14.24677     0.15294     0.02683     0.03044     0.02755     0.00692     0.00280     0.01994     0.00280     0.00246     0.27908
   -14.23678     0.14268     0.02660     0.02978     0.02711     0.00618     0.00259     0.01849     0.00259     0.00218     0.26397
   -14.22678     0.12908     0.02560     0.02835     0.02592     0.00528     0.00230     0.01654     0.00230     0.00194     0.24233
   -14.21679     0.11190     0.02343     0.02593     0.02360     0.00426     0.00187     0.01400     0.00187     0.00177     0.21292
   -14.20679     0.10683     0.02359     0.02586     0.02367     0.00394     0.00175     0.01325     0.00175     0.00155     0.20614
   -14.19680     0.09725     0.02272     0.02474     0.02273     0.00341     0.00153     0.01185     0.00153     0.00139     0.19058
   -14.18680     0.08903     0.02204     0.02383     0.02200     0.00296     0.00134     0.01065     0.00134     0.00124     0.17743
   -14.17681     0.08212     0.02155     0.02315     0.02147     0.00259     0.00118     0.00964     0.00118     0.00114     0.16660
   -14.16681     0.07641     0.02126     0.02271     0.02116     0.00226     0.00104     0.00880     0.00104     0.00107     0.15799
   -14.15682     0.07180     0.02116     0.02252     0.02105     0.00197     0.00091     0.00809     0.00091     0.00106     0.15139
   -14.14682     0.06800     0.02120     0.02254     0.02109     0.00168     0.00078     0.00747     0.00078     0.00110     0.14635
   -14.13683     0.06447     0.02128     0.02261     0.02116     0.00140     0.00065     0.00687     0.00065     0.00115     0.14174
   -14.12683     0.06024     0.02112     0.02241     0.02100     0.00114     0.00053     0.00616     0.00053     0.00115     0.13551
   -14.11684     0.05591     0.02090     0.02212     0.02078     0.00089     0.00041     0.00543     0.00041     0.00113     0.12893
   -14.10684     0.05198     0.02076     0.02194     0.02065     0.00066     0.00030     0.00471     0.00030     0.00110     0.12309
   -14.09685     0.04839     0.02073     0.02186     0.02063     0.00044     0.00020     0.00401     0.00020     0.00107     0.11793
   -14.08685     0.04506     0.02082     0.02188     0.02073     0.00025     0.00011     0.00331     0.00011     0.00102     0.11335
   -14.07686     0.04192     0.02105     0.02202     0.02096     0.00007     0.00002     0.00258     0.00002     0.00094     0.10929
   -14.06686     0.03891     0.02142     0.02227     0.02135    -0.00008    -0.00005     0.00183    -0.00005     0.00082     0.10565
   -14.05687     0.03595     0.02196     0.02264     0.02190    -0.00021    -0.00011     0.00104    -0.00011     0.00065     0.10237
   -14.04687     0.03298     0.02268     0.02312     0.02263    -0.00031    -0.00016     0.00019    -0.00016     0.00042     0.09935
   -14.03688     0.02668     0.02082     0.02097     0.02078    -0.00034    -0.00017    -0.00053    -0.00017     0.00013     0.08588
   -14.02688     0.02432     0.02213     0.02204     0.02210    -0.00037    -0.00018    -0.00103    -0.00018    -0.00007     0.08586
   -14.01689     0.01980     0.02124     0.02104     0.02123    -0.00035    -0.00014    -0.00109    -0.00014    -0.00011     0.07900
   -14.00689     0.01212     0.01599     0.01582     0.01599    -0.00025    -0.00009    -0.00074    -0.00009    -0.00007     0.05707
   -13.99690     0.00679     0.01152     0.01139     0.01152    -0.00017    -0.00005    -0.00046    -0.00005    -0.00004     0.03947
   -13.98690     0.00328     0.00776     0.00768     0.00776    -0.00011    -0.00003    -0.00026    -0.00003    -0.00002     0.02550
   -13.97691     0.00121     0.00473     0.00468     0.00473    -0.00006    -0.00001    -0.00013    -0.00001    -0.00001     0.01488
   -13.96691     0.00023     0.00244     0.00241     0.00244    -0.00003    -0.00001    -0.00005    -0.00001    -0.00000     0.00732
   -13.95692     0.00047     0.00114     0.00100     0.00114    -0.00001    -0.00000     0.00143    -0.00000     0.00044     0.00564
   -13.94692     0.05286     0.02532     0.01286     0.02532    -0.00020    -0.00000     0.14870    -0.00000     0.03886     0.30967
   -13.93693     0.76987     0.36569     0.32128     0.36569    -0.00106     0.00000     1.88291     0.00000     0.22543     3.95805
   -13.92693     0.25684     0.13261     0.11146     0.13261     0.00078     0.00000     0.66985     0.00000     0.06353     1.37921
   -13.91694     0.17364     0.09944     0.08878     0.09944     0.00211     0.00000     0.41235     0.00000     0.03376     0.91924
   -13.90694     0.16189     0.10130     0.09153     0.10130     0.00301     0.00000     0.37761     0.00000     0.02237     0.86966
   -13.89695     0.14794     0.10224     0.09281     0.10224     0.00361     0.00000     0.33943     0.00000     0.01431     0.81463
   -13.88695     0.13303     0.10247     0.09275     0.10247     0.00393     0.00000     0.30266     0.00000     0.00899     0.75992
   -13.87696     0.11773     0.10191     0.09155     0.10191     0.00400     0.00000     0.26774     0.00000     0.00583     0.70571
   -13.86696     0.10263     0.10044     0.08939     0.10045     0.00383     0.00000     0.23510     0.00000     0.00425     0.65216
   -13.85697     0.08888     0.09870     0.08696     0.09872     0.00353     0.00000     0.20675     0.00000     0.00365     0.60375
   -13.84697     0.07690     0.09725     0.08464     0.09728     0.00324     0.00000     0.18390     0.00000     0.00347     0.56318
   -13.83698     0.06317     0.08989     0.07734     0.08993     0.00261     0.00000     0.15825     0.00000     0.00337     0.49945
   -13.82698     0.05002     0.07443     0.06243     0.07447     0.00188     0.00000     0.13549     0.00000     0.00316     0.41357
   -13.81699     0.04066     0.05380     0.04208     0.05381     0.00141     0.00000     0.12276     0.00000     0.00272     0.32465
   -13.80699     0.03486     0.04879     0.03714     0.04871     0.00116     0.00000     0.11474     0.00000     0.00225     0.29223
   -13.79700     0.03149     0.04647     0.03492     0.04624     0.00098     0.00000     0.10875     0.00000     0.00183     0.27397
   -13.78700     0.02916     0.04416     0.03279     0.04377     0.00083     0.00000     0.10304     0.00000     0.00149     0.25818
   -13.77701     0.02699     0.04049     0.02943     0.03999     0.00070     0.00000     0.09706     0.00000     0.00109     0.23838
   -13.76701     0.02483     0.03675     0.02607     0.03620     0.00058     0.00000     0.09108     0.00000     0.00081     0.21858
   -13.75702     0.02257     0.03450     0.02413     0.03395     0.00047     0.00000     0.08641     0.00000     0.00140     0.20514
   -13.74702     0.02037     0.03570     0.02530     0.03510     0.00036     0.00000     0.08494     0.00000     0.00373     0.20638
   -13.73703     0.01864     0.03762     0.02757     0.03698     0.00027     0.00000     0.08368     0.00000     0.00841     0.21390
   -13.72703     0.01757     0.03901     0.02972     0.03832     0.00020     0.00000     0.08210     0.00000     0.01424     0.22243
   -13.71704     0.01726     0.03992     0.03135     0.03917     0.00013     0.00000     0.08198     0.00000     0.01965     0.23137
   -13.70704     0.01766     0.04018     0.03189     0.03937     0.00009     0.00000     0.08459     0.00000     0.02309     0.23892
   -13.69705     0.04075     0.05471     0.03978     0.04717     0.00005     0.00000     0.19292     0.00000     0.04393     0.42041
   -13.68705     0.04820     0.06271     0.04479     0.05431     0.00003     0.00000     0.22766     0.00000     0.05601     0.49512
   -13.67706     0.07373     0.08297     0.05462     0.07173     0.00001     0.00000     0.33805     0.00000     0.07881     0.70286
   -13.66706     0.10178     0.10559     0.06543     0.09200     0.00000     0.00000     0.45592     0.00000     0.10986     0.93527
   -13.65707     0.12403     0.11896     0.06934     0.10465    -0.00000     0.00000     0.54220     0.00000     0.13909     1.10451
   -13.64707     0.13799     0.12723     0.07156     0.11298    -0.00000     0.00000     0.59679     0.00000     0.16713     1.22111
   -13.63708     0.14337     0.13067     0.07233     0.11716    -0.00000     0.00000     0.62313     0.00000     0.18905     1.28417
   -13.62708     0.14013     0.12979     0.07197     0.11755     0.00000     0.00000     0.62621     0.00000     0.19995     1.29516
   -13.61709     0.13207     0.12775     0.07195     0.11719     0.00000     0.00000     0.62051     0.00000     0.20278     1.28308
   -13.60709     0.09906     0.09939     0.05450     0.09014     0.00000     0.00000     0.54305     0.00000     0.14791     1.04740
   -13.59710     0.09300     0.09638     0.05170     0.08814     0.00000     0.00000     0.55646     0.00000     0.14362     1.04414
   -13.58710     0.08589     0.09522     0.05136     0.08804     0.00000     0.00000     0.56725     0.00000     0.14083     1.04414
   -13.57711     0.07738     0.09295     0.05079     0.08677     0.00000     0.00000     0.56765     0.00000     0.13596     1.02706
   -13.56711     0.06667     0.08905     0.04996     0.08374     0.00000     0.00000     0.55379     0.00000     0.12802     0.98601
   -13.55712     0.05394     0.08365     0.04906     0.07903     0.00000     0.00000     0.52492     0.00000     0.11752     0.92130
   -13.54712     0.04441     0.07890     0.04803     0.07487     0.00000     0.00000     0.49769     0.00000     0.11001     0.86589
   -13.53713     0.03949     0.07575     0.04681     0.07232     0.00000     0.00000     0.48216     0.00000     0.10735     0.83573
   -13.52713     0.03474     0.07403     0.04581     0.07119     0.00000     0.00000     0.48404     0.00000     0.10442     0.82644
   -13.51714     0.03036     0.07189     0.04462     0.06957     0.00000     0.00000     0.48027     0.00000     0.10219     0.81135
   -13.50714     0.02632     0.06965     0.04332     0.06779     0.00000     0.00000     0.47468     0.00000     0.10053     0.79492
   -13.49715     0.02266     0.06721     0.04189     0.06575     0.00000     0.00000     0.46607     0.00000     0.09955     0.77585
   -13.48715     0.01939     0.06470     0.04037     0.06357     0.00000     0.00000     0.45589     0.00000     0.09932     0.75601
   -13.47716     0.01654     0.06216     0.03880     0.06127     0.00000     0.00000     0.44443     0.00000     0.10002     0.73600
   -13.46716     0.01419     0.05961     0.03720     0.05888     0.00000     0.00000     0.43172     0.00000     0.10188     0.71618
   -13.45717     0.01220     0.05997     0.03655     0.05934     0.00000     0.00000     0.43659     0.00000     0.10609     0.72459
   -13.44717     0.01176     0.05935     0.03553     0.05873     0.00000     0.00000     0.43535     0.00000     0.11283     0.72779
   -13.43718     0.01329     0.06298     0.03837     0.06235     0.00000     0.00000     0.45804     0.00000     0.14034     0.79085
   -13.42718     0.01964     0.07687     0.04946     0.07624     0.00000     0.00000     0.55722     0.00000     0.20205     0.99972
   -13.41719     0.02779     0.08100     0.05216     0.08001     0.00000     0.00000     0.57587     0.00000     0.25444     1.09031
   -13.40719     0.03813     0.08189     0.05028     0.08063     0.00000     0.00000     0.58256     0.00000     0.29122     1.14329
   -13.39720     0.04945     0.08045     0.04645     0.07903     0.00000     0.00000     0.57530     0.00000     0.32463     1.17248
   -13.38720     0.06442     0.08074     0.04622     0.08060     0.00000     0.00000     0.57981     0.00000     0.38930     1.25874
   -13.37721     0.08619     0.08449     0.04525     0.08478     0.00000     0.00000     0.61443     0.00000     0.46668     1.39871
   -13.36721     0.08714     0.07698     0.03604     0.07537     0.00000     0.00000     0.58678     0.00000     0.42689     1.29973
   -13.35722     0.05275     0.05612     0.02653     0.05281     0.00000     0.00000     0.48001     0.00000     0.25660     0.92761
   -13.34722     0.05239     0.05447     0.02637     0.05065     0.00000     0.00000     0.48642     0.00000     0.24839     0.91886
