     #Energy            s           py          pz          px          dxy         dyz         dz2         dxz         dx2-y2      tot    
    # PDOS obtained from EIGENVAL and PROCAR files
   -14.40669     5.86286     0.00000     0.00875     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     5.91012
   -14.39670     6.59698     0.00000     0.00733     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     6.65535
   -14.38670     6.75287     0.00000     0.00569     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     6.81851
   -14.37671     6.38572     0.00000     0.00397     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     6.45255
   -14.36671     4.52743     0.00000     0.00267     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     4.57062
   -14.35672     3.67137     0.00000     0.00218     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     3.70323
   -14.34672     3.47967     0.00000     0.00171     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     3.51006
   -14.33673     3.27253     0.00000     0.00129     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     3.30106
   -14.32673     3.07365     0.00000     0.00091     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     3.10028
   -14.31674     2.88207     0.00000     0.00059     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.90676
   -14.30674     2.70377     0.00000     0.00034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.72654
   -14.29675     2.56639     0.00000     0.00013     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.58773
   -14.28675     2.44033     0.00000    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.46027
   -14.27676     2.32384     0.00000    -0.00016     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.34237
   -14.26676     2.24695     0.00000    -0.00024     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.26449
   -14.25677     2.20141     0.00000    -0.00027     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.21818
