    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
   -14.40669    10.56884
   -14.39670    11.87677
   -14.38670    12.14584
   -14.37671    11.47240
   -14.36671     8.10727
   -14.35672     6.55477
   -14.34672     6.20144
   -14.33673     5.82129
   -14.32673     5.45690
   -14.31674     5.10651
   -14.30674     4.78071
   -14.29675     4.52899
   -14.28675     4.29796
   -14.27676     4.08437
   -14.26676     3.94141
   -14.25677     3.85388
   -14.24677     3.74846
   -14.23678     3.60170
   -14.22678     3.36329
   -14.21679     3.00795
   -14.20679     2.95192
   -14.19680     2.77320
   -14.18680     2.62400
   -14.17681     2.50431
   -14.16681     2.41413
   -14.15682     2.35178
   -14.14682     2.31161
   -14.13683     2.27749
   -14.12683     2.21792
   -14.11684     2.15178
   -14.10684     2.09743
   -14.09685     2.05485
   -14.08685     2.02406
   -14.07686     2.00506
   -14.06686     1.99784
   -14.05687     2.00240
   -14.04687     2.01874
   -14.03688     1.80385
   -14.02688     1.88076
   -14.01689     1.77823
   -14.00689     1.33040
   -13.99690     0.95338
   -13.98690     0.63903
   -13.97691     0.38735
   -13.96691     0.19834
   -13.95692     0.10392
   -13.94692     3.22916
   -13.93693    46.78832
   -13.92693    16.51157
   -13.91694    11.97961
   -13.90694    11.87329
   -13.89695    11.66036
   -13.88695    11.38060
   -13.87696    11.03403
   -13.86696    10.62064
   -13.85697    10.21125
   -13.84697     9.85596
   -13.83698     8.96166
   -13.82698     7.36614
   -13.81699     5.37607
   -13.80699     4.84956
   -13.79700     4.59242
   -13.78700     4.34438
   -13.77701     3.97948
   -13.76701     3.60947
   -13.75702     3.37608
   -13.74702     3.46232
   -13.73703     3.65250
   -13.72703     3.82642
   -13.71704     3.96293
   -13.70704     4.02121
   -13.69705     5.45207
   -13.68705     6.28481
   -13.67706     8.35772
   -13.66706    10.71835
   -13.65707    12.21083
   -13.64707    13.21547
   -13.63708    13.73151
   -13.62708    13.78046
   -13.61709    13.68255
   -13.60709    10.81236
   -13.59710    10.64499
   -13.58710    10.63058
   -13.57711    10.46569
   -13.56711    10.08722
   -13.55712     9.50418
   -13.54712     8.99255
   -13.53713     8.68546
   -13.52713     8.55632
   -13.51714     8.37117
   -13.50714     8.16910
   -13.49715     7.93897
   -13.48715     7.69653
   -13.47716     7.44678
   -13.46716     7.19267
   -13.45717     7.22835
   -13.44717     7.17746
   -13.43718     7.71742
   -13.42718     9.65640
   -13.41719    10.31598
   -13.40719    10.51750
   -13.39720    10.45278
   -13.38720    10.90498
   -13.37721    11.70973
   -13.36721    10.54557
   -13.35722     7.50206
   -13.34722     7.34874
   -13.33723     7.42918
   -13.32723     7.01182
   -13.31724     6.61546
   -13.30724     6.27023
   -13.29725     5.97714
   -13.28725     5.73619
   -13.27726     5.54736
   -13.26726     5.41067
   -13.25727     5.32611
   -13.24727     5.62424
   -13.23728    11.60091
   -13.22728     9.99369
   -13.21729     8.97108
   -13.20729     8.97396
   -13.19730     8.85812
   -13.18730     8.92341
   -13.17731     9.23449
   -13.16731     9.19819
   -13.15732     9.04052
   -13.14732     9.08273
   -13.13733     8.62141
   -13.12733     7.72805
   -13.11734     8.91140
   -13.10734     9.52438
   -13.09735     8.27332
   -13.08735     6.51305
   -13.07736     5.98709
   -13.06736     4.53703
   -13.05737     5.05820
