#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  84  96
# Band-Index:    1
   0.00000    -16.577024  0.001  0.000  0.000  0.000  0.000  0.000  0.204  0.016  0.604  0.822
   0.03287    -16.576426  0.000  0.000  0.000  0.000  0.000  0.000  0.201  0.016  0.604  0.822
   0.06574    -16.574628  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.823
   0.09861    -16.571649  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.13148    -16.567415  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.16435    -16.561964  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.19722    -16.555280  0.000  0.000  0.000  0.000  0.000  0.000  0.200  0.016  0.604  0.824
   0.23009    -16.547355  0.000  0.000  0.000  0.000  0.000  0.000  0.201  0.016  0.605  0.824
   0.26297    -16.538159  0.000  0.000  0.000  0.000  0.000  0.000  0.204  0.016  0.608  0.824
   0.29584    -16.527697  0.000  0.000  0.000  0.000  0.000  0.000  0.203  0.016  0.608  0.828
   0.32871    -16.516874  0.000  0.000  0.000  0.000  0.000  0.009  0.318  0.000  0.502  0.834
   0.36158    -16.506054  0.000  0.000  0.000  0.000  0.000  0.008  0.352  0.000  0.472  0.836
   0.39445    -16.495113  0.000  0.000  0.000  0.000  0.000  0.008  0.392  0.000  0.436  0.838
   0.42732    -16.484368  0.000  0.000  0.000  0.000  0.002  0.006  0.432  0.000  0.398  0.842
   0.46019    -16.474308  0.000  0.000  0.000  0.000  0.002  0.006  0.484  0.000  0.350  0.844
   0.49306    -16.465467  0.000  0.000  0.000  0.000  0.002  0.006  0.538  0.000  0.300  0.844
   0.52593    -16.458492  0.000  0.000  0.000  0.000  0.002  0.002  0.586  0.000  0.254  0.846
   0.55880    -16.453976  0.000  0.000  0.000  0.000  0.002  0.002  0.618  0.000  0.222  0.848
   0.59167    -16.452407  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
   0.59167    -16.452407  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
   0.63351    -16.455988  0.000  0.000  0.000  0.000  0.002  0.002  0.612  0.000  0.228  0.846
   0.67535    -16.464759  0.000  0.000  0.000  0.000  0.002  0.002  0.582  0.002  0.256  0.844
   0.71719    -16.475819  0.000  0.000  0.000  0.000  0.002  0.002  0.556  0.002  0.278  0.840
   0.75902    -16.487499  0.000  0.000  0.000  0.000  0.002  0.002  0.540  0.002  0.290  0.838
   0.80086    -16.499053  0.000  0.000  0.000  0.000  0.002  0.002  0.530  0.002  0.298  0.834
   0.80086    -16.499056  0.000  0.000  0.000  0.000  0.002  0.002  0.180  0.002  0.646  0.834
   0.83389    -16.507829  0.000  0.000  0.000  0.000  0.002  0.004  0.188  0.004  0.636  0.832
   0.86692    -16.516174  0.000  0.000  0.000  0.000  0.000  0.004  0.192  0.004  0.628  0.832
   0.89995    -16.524014  0.000  0.000  0.000  0.000  0.000  0.004  0.196  0.004  0.624  0.828
   0.93298    -16.531349  0.000  0.000  0.000  0.000  0.000  0.004  0.198  0.004  0.620  0.826
   0.96601    -16.538070  0.000  0.000  0.000  0.000  0.000  0.004  0.198  0.004  0.616  0.826
   0.99904    -16.544222  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.614  0.824
   1.03207    -16.549769  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.612  0.824
   1.06510    -16.554726  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.612  0.822
   1.09813    -16.559101  0.000  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.610  0.822
   1.13116    -16.562912  0.002  0.000  0.000  0.000  0.000  0.004  0.200  0.004  0.608  0.822
   1.16419    -16.566187  0.002  0.000  0.000  0.000  0.000  0.006  0.200  0.006  0.608  0.822
   1.19722    -16.568950  0.002  0.000  0.000  0.000  0.000  0.006  0.200  0.006  0.608  0.820
   1.23025    -16.571256  0.002  0.000  0.000  0.000  0.000  0.007  0.200  0.007  0.606  0.822
   1.26328    -16.573108  0.002  0.000  0.000  0.000  0.000  0.008  0.200  0.008  0.606  0.822
   1.29631    -16.574564  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.606  0.822
   1.32934    -16.575664  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.604  0.822
   1.36237    -16.576428  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.604  0.821
   1.39539    -16.576878  0.002  0.000  0.000  0.000  0.000  0.008  0.202  0.008  0.604  0.821
   1.42842    -16.577024  0.001  0.000  0.000  0.000  0.000  0.000  0.204  0.016  0.604  0.822
   1.42842    -16.577024  0.001  0.000  0.000  0.000  0.000  0.000  0.204  0.016  0.604  0.822
   1.46045    -16.577029  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.822
   1.49247    -16.577040  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.821
   1.52450    -16.577065  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.821
   1.55653    -16.577089  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.821
   1.58855    -16.577144  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.820
   1.62058    -16.577194  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.820
   1.65260    -16.577246  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.819
   1.68463    -16.577326  0.001  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.819
   1.71665    -16.577409  0.000  0.000  0.000  0.000  0.004  0.004  0.403  0.004  0.404  0.818
