#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  84  96
# Band-Index:    1
   0.00000    -16.577024  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.03287    -16.576426  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.06574    -16.574628  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.09861    -16.571649  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.13148    -16.567415  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.16435    -16.561964  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.19722    -16.555280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.23009    -16.547355  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.26297    -16.538159  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.29584    -16.527697  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.32871    -16.516874  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.36158    -16.506054  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.39445    -16.495113  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.42732    -16.484368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.46019    -16.474308  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.49306    -16.465467  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.52593    -16.458492  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.55880    -16.453976  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.59167    -16.452407  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.59167    -16.452407  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.63351    -16.455988  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.67535    -16.464759  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.71719    -16.475819  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.75902    -16.487499  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
