#k-distance eigenvalue[eV]
0.00000000 -15.69870000
0.03287071 -15.69810000
0.06574142 -15.69630000
0.09861212 -15.69330000
0.13148283 -15.68910000
0.16435354 -15.68360000
0.19722425 -15.67690000
0.23009495 -15.66900000
0.26296566 -15.65980000
0.29583637 -15.64940000
0.32870708 -15.63850000
0.36157779 -15.62770000
0.39444849 -15.61680000
0.42731920 -15.60600000
0.46018991 -15.59600000
0.49306062 -15.58710000
0.52593132 -15.58020000
0.55880203 -15.57560000
0.59167274 -15.57410000
0.59167274 -15.57410000
0.63351033 -15.57770000
0.67534791 -15.58640000
0.71718549 -15.59750000
0.75902307 -15.60920000
0.80086065 -15.62070000
0.80086065 -15.62070000
0.83389032 -15.62950000
0.86691999 -15.63780000
0.89994965 -15.64570000
0.93297933 -15.65300000
0.96600899 -15.65970000
0.99903867 -15.66590000
1.03206833 -15.67140000
1.06509800 -15.67640000
1.09812767 -15.68080000
1.13115734 -15.68460000
1.16418701 -15.68790000
1.19721668 -15.69060000
1.23024634 -15.69290000
1.26327602 -15.69480000
1.29630568 -15.69620000
1.32933536 -15.69730000
1.36236502 -15.69810000
1.39539470 -15.69850000
1.42842436 -15.69870000
1.42842436 -15.69870000
1.46044959 -15.69870000
1.49247482 -15.69870000
1.52450004 -15.69870000
1.55652527 -15.69880000
1.58855050 -15.69880000
1.62057572 -15.69890000
1.65260095 -15.69890000
1.68462618 -15.69900000
1.71665140 -15.69910000
1.74867663 -15.69920000
1.78070186 -15.69930000
1.81272708 -15.69930000
1.84475231 -15.69940000
1.87677754 -15.69950000
1.90880276 -15.69950000
1.94082799 -15.69950000
1.94082799 -15.69950000
1.97569264 -15.69840000
2.01055730 -15.69530000
2.04542194 -15.69010000
2.08028659 -15.68310000
2.11515125 -15.67420000
2.15001590 -15.66380000
2.18488054 -15.65220000
2.21974520 -15.63960000
2.25460985 -15.62650000
2.28947449 -15.61320000
2.32433916 -15.60040000
2.35920380 -15.58850000
2.35920380 -15.58850000
2.39618335 -15.58810000
2.43316289 -15.58680000
2.47014244 -15.58480000
2.50712199 -15.58220000
2.54410153 -15.57940000
2.58108108 -15.57670000
2.61806063 -15.57480000
2.65504017 -15.57410000

0.00000000 -15.69870000
0.03287071 -15.69800000
0.06574142 -15.69610000
0.09861212 -15.69280000
0.13148283 -15.68830000
0.16435354 -15.68250000
0.19722425 -15.67560000
0.23009495 -15.66760000
0.26296566 -15.65870000
0.29583637 -15.64890000
0.32870708 -15.63850000
0.36157779 -15.62770000
0.39444849 -15.61680000
0.42731920 -15.60600000
0.46018991 -15.59600000
0.49306062 -15.58710000
0.52593132 -15.58020000
0.55880203 -15.57560000
0.59167274 -15.57410000
0.59167274 -15.57410000
0.63351033 -15.57210000
0.67534791 -15.56630000
0.71718549 -15.55680000
0.75902307 -15.54360000
0.80086065 -15.53820000
0.80086065 -15.53820000
0.83389032 -15.54850000
0.86691999 -15.55940000
0.89994965 -15.57070000
0.93297933 -15.58230000
0.96600899 -15.59400000
0.99903867 -15.60570000
1.03206833 -15.61720000
1.06509800 -15.62840000
1.09812767 -15.63920000
1.13115734 -15.64950000
1.16418701 -15.65900000
1.19721668 -15.66780000
1.23024634 -15.67560000
1.26327602 -15.68250000
1.29630568 -15.68820000
1.32933536 -15.69280000
1.36236502 -15.69600000
1.39539470 -15.69800000
1.42842436 -15.69870000
