    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
   -14.41585     2.69284
   -14.40586     2.62121
   -14.39586     2.54884
   -14.38587     2.47572
   -14.37587     2.42135
   -14.36588     2.46092
   -14.35588     2.44629
   -14.34589     2.41880
   -14.33589     2.38940
   -14.32590     2.36011
   -14.31590     2.31440
   -14.30591     2.27108
   -14.29591     2.23049
   -14.28592     2.18464
   -14.27592     2.16245
   -14.26593     2.60407
   -14.25593     2.43893
   -14.24594     1.04230
   -14.23594     1.04711
   -14.22595     1.05709
   -14.21595     1.06265
   -14.20596     1.07674
   -14.19596     1.09730
   -14.18597     1.11795
   -14.17597     1.13870
   -14.16598     1.15954
   -14.15598     1.18048
   -14.14599     1.20151
   -14.13599     1.22264
   -14.12600     1.24386
   -14.11600     1.26518
   -14.10601     1.28659
   -14.09601     1.30810
   -14.08602     1.32970
   -14.07602     1.35140
   -14.06603     1.35267
   -14.05603     1.37537
   -14.04604     1.39265
   -14.03604     1.43342
   -14.02605     1.48024
   -14.01605     1.53733
   -14.00606     1.59470
   -13.99606     1.65242
   -13.98607     1.71050
   -13.97607     1.76893
   -13.96608     1.82727
   -13.95608     1.84626
   -13.94609     1.86998
   -13.93609     1.89879
   -13.92610     1.96176
   -13.91610     2.02631
   -13.90611     2.09305
   -13.89611     2.16199
   -13.88612     2.23312
   -13.87612     2.30644
   -13.86613     2.36310
   -13.85613     2.49999
   -13.84614     2.82089
   -13.83614     3.21811
   -13.82615     3.40591
   -13.81615     3.51771
   -13.80616     3.88256
   -13.79616     4.30690
   -13.78617     4.80151
   -13.77617     9.28716
   -13.76618    13.63207
   -13.75618    13.00762
   -13.74619    10.83330
   -13.73619    11.04817
   -13.72620     9.15118
   -13.71620     8.04149
   -13.70621     7.90902
   -13.69621     0.47730
   -13.68622     0.00425
   -13.67622     0.01540
   -13.66623     0.18497
   -13.65623     0.45712
   -13.64624     0.83527
   -13.63624     1.15355
   -13.62625     1.36881
   -13.61625     1.38131
   -13.60626     1.32047
   -13.59626     1.19902
   -13.58627     1.18284
   -13.57627     1.21866
   -13.56628     1.25408
   -13.55628     1.28909
   -13.54629     1.32371
   -13.53629     1.35792
   -13.52630     1.39173
   -13.51630     1.42513
   -13.50631     1.45380
   -13.49631     1.44541
   -13.48632     1.43813
   -13.47632     1.43378
   -13.46633     1.45033
   -13.45633     1.46981
   -13.44634     1.47015
   -13.43634     1.47987
   -13.42635     1.49773
   -13.41635     1.52983
   -13.40636     1.56196
   -13.39636     1.59414
   -13.38637     1.62635
   -13.37637     1.65861
   -13.36638     1.69091
   -13.35638     1.72325
   -13.34639     1.75563
   -13.33639     1.78805
   -13.32640     1.82051
   -13.31640     1.80358
   -13.30641     1.78924
   -13.29641     1.83750
   -13.28642     1.90435
   -13.27642     1.97056
   -13.26643     2.03614
   -13.25643     2.10109
   -13.24644     2.16579
   -13.23644     2.16462
   -13.22645     2.17700
   -13.21645     2.24362
   -13.20646     2.31156
   -13.19646     2.38100
   -13.18647     2.45196
   -13.17647     2.52442
   -13.16648     2.59839
   -13.15648     2.67388
   -13.14649     2.72693
   -13.13649     2.79550
   -13.12650     3.15053
   -13.11650     2.99695
   -13.10651     3.22516
   -13.09651     3.49910
   -13.08652     3.79126
   -13.07652     4.10171
   -13.06653     4.21194
   -13.05653     4.34763
   -13.04654     4.77338
   -13.03654     5.28913
   -13.02655     5.91386
   -13.01655     6.64758
   -13.00656     7.37141
   -12.99656    11.82204
   -12.98657     7.24217
   -12.97657     6.43703
   -12.96658     5.62005
   -12.95658     4.79112
   -12.94659     4.90570
   -12.93659     4.94784
   -12.92660     5.43052
   -12.91660     0.00000
   -12.90661     0.00000
   -12.89661     0.00000
   -12.88662     0.00000
   -12.87662     0.00000
   -12.86663     0.00000
   -12.85663     0.00000
   -12.84664     0.00000
   -12.83664     0.00000
   -12.82665     0.00000
   -12.81665     0.00000
   -12.80666     0.00000
   -12.79666     0.00000
   -12.78667     0.00000
   -12.77667     0.00000
   -12.76668     0.00000
   -12.75668     0.00000
   -12.74669     0.00000
   -12.73669     0.00000
   -12.72670     0.00000
   -12.71670     0.00000
   -12.70671     0.00000
   -12.69671     0.00000
   -12.68672     0.00000
   -12.67672     0.00000
   -12.66673     0.00000
   -12.65673     0.00000
   -12.64674     0.00000
   -12.63674     0.00000
   -12.62675     0.00000
   -12.61675     0.00000
   -12.60676     0.00000
   -12.59676     0.00000
   -12.58677     0.00000
   -12.57677     0.00000
   -12.56678     0.00000
   -12.55678     0.00000
   -12.54679     0.00000
   -12.53679     0.00000
   -12.52680     0.00000
   -12.51680     0.00000
   -12.50681     0.00000
   -12.49681     0.00000
   -12.48682     0.00000
   -12.47682     0.00000
   -12.46683     0.00000
   -12.45683     0.00000
   -12.44684     0.00000
   -12.43684     0.00000
   -12.42685     0.00000
   -12.41685     0.00000
   -12.40686     0.00000
   -12.39686     0.00000
   -12.38687     0.00000
   -12.37687     0.00000
   -12.36688     0.00000
   -12.35688     0.00000
   -12.34689     0.00000
   -12.33689     0.00000
   -12.32690     0.00000
   -12.31690     0.00000
   -12.30691     0.00000
   -12.29691     0.00000
   -12.28692     0.00000
   -12.27692     0.00000
   -12.26693     0.00000
   -12.25693     0.00000
   -12.24694     0.00000
   -12.23694     0.00000
   -12.22695     0.00000
   -12.21695     0.00000
   -12.20696     0.00000
   -12.19696     0.00000
   -12.18697     0.00000
   -12.17697     0.00000
   -12.16698     0.00000
   -12.15698     0.00000
   -12.14699     0.00000
   -12.13699     0.00000
   -12.12700     0.00000
   -12.11700     0.00000
   -12.10701     0.00000
   -12.09701     0.00000
   -12.08702     0.00000
   -12.07702     0.00000
   -12.06703     0.00000
   -12.05703     0.00000
   -12.04704     0.00000
   -12.03704     0.00000
   -12.02705     0.00000
   -12.01705     0.00000
   -12.00706     0.00000
   -11.99706     0.00000
   -11.98707     0.00000
   -11.97707     0.00000
   -11.96708     0.00000
   -11.95708     0.00000
   -11.94709     0.00000
   -11.93709     0.00000
   -11.92710     0.00000
   -11.91710     0.00000
   -11.90711     0.00000
   -11.89711     0.00000
   -11.88712     0.00000
   -11.87712     0.00000
   -11.86713     0.00000
   -11.85713     0.00000
   -11.84714     0.00000
   -11.83714     0.00000
   -11.82715     0.00000
   -11.81715     0.00000
   -11.80716     0.00000
   -11.79716     0.00000
   -11.78717     0.00000
   -11.77717     0.00000
   -11.76718     0.00000
   -11.75718     0.00000
   -11.74719     0.00000
   -11.73719     0.00000
   -11.72720     0.00000
   -11.71720     0.00000
   -11.70721     0.00000
   -11.69721     0.00000
   -11.68722     0.00000
   -11.67722     0.00000
   -11.66723     0.00000
   -11.65723     0.00000
   -11.64724     0.00000
   -11.63724     0.00000
   -11.62725     0.00000
   -11.61725     0.00000
   -11.60726     0.00000
   -11.59726     0.00000
   -11.58727     0.00000
   -11.57727     0.00000
   -11.56728     0.00000
   -11.55728     0.00000
   -11.54729     0.00000
   -11.53729     0.00000
   -11.52730     0.00000
   -11.51730     0.00000
   -11.50731     0.00000
   -11.49731     0.00000
   -11.48732     0.00000
   -11.47732     0.00000
   -11.46733     0.00000
   -11.45733     0.00000
   -11.44734     0.00000
   -11.43734     0.00000
   -11.42735     0.00000
   -11.41735     0.00000
   -11.40736     0.00000
   -11.39736     0.00000
   -11.38737     0.00000
   -11.37737     0.00000
   -11.36738     0.00000
   -11.35738     0.00000
   -11.34739     0.00000
   -11.33739     0.00000
   -11.32740     0.00000
   -11.31740     0.00000
   -11.30741     0.00000
   -11.29741     0.00000
   -11.28742     0.00000
   -11.27742     0.00000
   -11.26743     0.00000
   -11.25743     0.00000
   -11.24744     0.00000
   -11.23744     0.00000
   -11.22745     0.00000
   -11.21745     0.00000
   -11.20746     0.00000
   -11.19746     0.00000
   -11.18747     0.00000
   -11.17747     0.00000
   -11.16748     0.00000
   -11.15748     0.00000
   -11.14749     0.00000
   -11.13749     0.00000
   -11.12750     0.00000
   -11.11750     0.00000
   -11.10751     0.00000
   -11.09751     0.00000
   -11.08752     0.00000
   -11.07752     0.00000
   -11.06753     0.00000
