#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 149  48
# Band-Index:    1
   0.00000    -14.199758  0.064  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.064
   0.04351    -14.197425  0.064  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.064
   0.08702    -14.190447  0.064  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.064
   0.13053    -14.178968  0.062  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.064
   0.17403    -14.163223  0.060  0.000  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.066
   0.21754    -14.143548  0.058  0.000  0.000  0.002  0.004  0.000  0.000  0.002  0.002  0.066
   0.26105    -14.120346  0.056  0.000  0.000  0.002  0.004  0.000  0.000  0.002  0.002  0.068
   0.30456    -14.094083  0.054  0.000  0.000  0.002  0.006  0.000  0.000  0.002  0.002  0.070
   0.34807    -14.065306  0.050  0.000  0.000  0.002  0.008  0.002  0.000  0.004  0.002  0.070
   0.39158    -14.034638  0.048  0.002  0.000  0.004  0.010  0.002  0.000  0.004  0.004  0.072
   0.43509    -14.002729  0.044  0.002  0.000  0.004  0.012  0.002  0.000  0.006  0.004  0.074
   0.47859    -13.970258  0.040  0.002  0.000  0.004  0.014  0.002  0.002  0.006  0.004  0.078
   0.52210    -13.937943  0.036  0.002  0.000  0.006  0.018  0.002  0.002  0.008  0.006  0.080
   0.56561    -13.906508  0.034  0.002  0.000  0.006  0.020  0.002  0.002  0.008  0.006  0.082
   0.60912    -13.876676  0.030  0.002  0.000  0.006  0.022  0.004  0.004  0.010  0.008  0.086
   0.65263    -13.849207  0.026  0.002  0.000  0.008  0.024  0.004  0.004  0.012  0.008  0.088
   0.69614    -13.824865  0.024  0.002  0.000  0.008  0.026  0.004  0.006  0.012  0.008  0.090
   0.73964    -13.804468  0.020  0.002  0.000  0.008  0.028  0.004  0.006  0.012  0.010  0.094
   0.78315    -13.788899  0.018  0.002  0.002  0.008  0.030  0.004  0.008  0.014  0.010  0.094
   0.82666    -13.779068  0.018  0.002  0.002  0.008  0.030  0.004  0.008  0.014  0.010  0.096
   0.87017    -13.775691  0.018  0.002  0.002  0.008  0.030  0.004  0.008  0.014  0.010  0.096
   0.87017    -13.775691  0.018  0.002  0.002  0.008  0.030  0.004  0.008  0.014  0.010  0.096
