#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 149  48
# Band-Index:    1
   0.00000    -14.199758  0.572  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   0.04351    -14.197425  0.572  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   0.08702    -14.190447  0.572  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   0.13053    -14.178968  0.574  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   0.17403    -14.163223  0.574  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   0.21754    -14.143548  0.576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.26105    -14.120346  0.576  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.30456    -14.094083  0.578  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.578
   0.34807    -14.065306  0.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.39158    -14.034638  0.582  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.582
   0.43509    -14.002729  0.582  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.582
   0.47859    -13.970258  0.584  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.52210    -13.937943  0.586  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.586
   0.56561    -13.906508  0.588  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.588
   0.60912    -13.876676  0.588  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.588
   0.65263    -13.849207  0.590  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.590
   0.69614    -13.824865  0.590  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.590
   0.73964    -13.804468  0.590  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.590
   0.78315    -13.788899  0.590  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.590
   0.82666    -13.779068  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   0.87017    -13.775691  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   0.87017    -13.775691  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   0.91584    -13.774512  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   0.96151    -13.771005  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   1.00719    -13.765297  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   1.05286    -13.757584  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   1.09853    -13.748154  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   1.14420    -13.737337  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   1.18987    -13.725526  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   1.23555    -13.713134  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.28122    -13.700604  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.32689    -13.688380  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.37256    -13.676904  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.37256    -13.676904  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.41443    -13.687984  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.45630    -13.701220  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.49816    -13.716729  0.594  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.594
   1.54003    -13.734593  0.592  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.592
