#k-distance eigenvalue[eV]
0.00000000 -14.40390000
0.04165291 -14.40030000
0.08330584 -14.38950000
0.12495874 -14.37170000
0.16661165 -14.34690000
0.20826455 -14.31540000
0.24991748 -14.27740000
0.29157039 -14.23320000
0.33322329 -14.18320000
0.37487622 -14.12770000
0.41652913 -14.06740000
0.45818204 -14.00270000
0.49983494 -13.93430000
0.54148787 -13.86290000
0.58314078 -13.78920000
0.62479368 -13.71420000
0.66644661 -13.63880000
0.70809952 -13.56380000
0.74975242 -13.49040000
0.79140533 -13.41960000
0.83305826 -13.35250000
0.87471117 -13.29010000
0.91636407 -13.23350000
0.95801700 -13.18380000
0.99966991 -13.14170000
1.04132281 -13.10810000
1.08297572 -13.08360000
1.12462865 -13.06870000
1.16628155 -13.06370000
1.16628155 -13.06370000
1.21209742 -13.06360000
1.25791329 -13.06340000
1.30372915 -13.06340000
1.34954502 -13.06370000
1.39536089 -13.06490000
1.44117676 -13.06740000
1.48699261 -13.07190000
1.53280848 -13.07900000
1.57862435 -13.08950000
1.57862435 -13.08950000
1.62128050 -13.10290000
1.66393666 -13.12030000
1.70659281 -13.14240000
1.74924896 -13.16940000
1.79190510 -13.20190000
1.83456125 -13.23980000
1.87721741 -13.28340000
1.91987356 -13.33240000
1.96252971 -13.38650000
2.00518587 -13.44540000
2.04784202 -13.50840000
2.09049817 -13.57470000
2.13315433 -13.64360000
2.17581048 -13.71410000
2.21846662 -13.78520000
2.26112277 -13.85620000
2.30377892 -13.92590000
2.34643508 -13.99350000
2.38909123 -14.05810000
2.43174738 -14.11900000
2.47440353 -14.17540000
2.51705969 -14.22660000
2.55971584 -14.27220000
2.60237199 -14.31160000
2.64502813 -14.34440000
2.68768428 -14.37020000
2.73034044 -14.38880000
2.77299659 -14.40010000
2.81565274 -14.40390000
2.81565274 -14.40390000
2.85773730 -14.40020000
2.89982187 -14.38920000
2.94190643 -14.37110000
2.98399098 -14.34600000
3.02607555 -14.31410000
3.06816011 -14.27590000
3.11024466 -14.23170000
3.15232923 -14.18210000
3.19441379 -14.12770000
3.23649834 -14.06910000
3.27858292 -14.00730000
3.32066747 -13.94300000
3.36275202 -13.87730000
3.40483660 -13.81120000
3.44692115 -13.74610000
3.48900571 -13.68300000
3.53109028 -13.62320000
3.57317483 -13.56810000
3.61525939 -13.51890000
3.65734396 -13.47680000
3.69942852 -13.44290000
3.74151307 -13.41790000
3.78359764 -13.40260000
3.82568220 -13.39750000
3.82568220 -13.39750000
3.86908669 -13.39530000
3.91249121 -13.38890000
3.95589570 -13.37840000
3.99930022 -13.36390000
4.04270471 -13.34600000
4.08610923 -13.32480000
4.12951372 -13.30110000
4.17291824 -13.27520000
4.21632273 -13.24800000
4.25972726 -13.22000000
4.30313175 -13.19210000
4.34653627 -13.16510000
4.38994076 -13.13960000
4.43334528 -13.11660000
4.47674977 -13.09660000
4.52015429 -13.08030000
4.56355878 -13.06830000
4.60696330 -13.06090000
4.65036779 -13.05840000
4.65036779 -13.05840000
4.69522478 -13.05850000
4.74008176 -13.05870000
4.78493875 -13.05910000
4.82979573 -13.05960000
4.87465272 -13.06010000
4.91950970 -13.06070000
4.96436666 -13.06140000
5.00922365 -13.06200000
5.05408063 -13.06250000
5.09893761 -13.06300000
5.14379460 -13.06340000
5.18865158 -13.06360000
5.23350857 -13.06370000

0.00000000 -7.87720000
0.04165291 -7.87720000
0.08330584 -7.87720000
0.12495874 -7.87710000
0.16661165 -7.87690000
0.20826455 -7.87650000
0.24991748 -7.87570000
0.29157039 -7.87450000
0.33322329 -7.87260000
0.37487622 -7.87000000
0.41652913 -7.86670000
0.45818204 -7.86220000
0.49983494 -7.85660000
0.54148787 -7.84980000
0.58314078 -7.84190000
0.62479368 -7.83320000
0.66644661 -7.82380000
0.70809952 -7.81440000
0.74975242 -7.80510000
0.79140533 -7.79670000
0.83305826 -7.78960000
0.87471117 -7.78360000
0.91636407 -7.77920000
0.95801700 -7.77620000
0.99966991 -7.77370000
1.04132281 -7.77220000
1.08297572 -7.77130000
1.12462865 -7.77060000
1.16628155 -7.77100000
1.16628155 -7.77100000
1.21209742 -7.76980000
1.25791329 -7.76710000
1.30372915 -7.76250000
1.34954502 -7.75630000
1.39536089 -7.75060000
1.44117676 -7.74560000
1.48699261 -7.74160000
1.53280848 -7.73880000
1.57862435 -7.73730000
1.57862435 -7.73730000
1.62128050 -7.73660000
1.66393666 -7.73660000
1.70659281 -7.73700000
1.74924896 -7.73770000
1.79190510 -7.73860000
1.83456125 -7.73990000
1.87721741 -7.74140000
1.91987356 -7.74340000
1.96252971 -7.74580000
2.00518587 -7.74890000
2.04784202 -7.75290000
2.09049817 -7.75780000
2.13315433 -7.76750000
2.17581048 -7.77890000
2.21846662 -7.78980000
2.26112277 -7.80010000
2.30377892 -7.81030000
2.34643508 -7.82000000
2.38909123 -7.82950000
2.43174738 -7.83800000
2.47440353 -7.84660000
2.51705969 -7.85560000
2.55971584 -7.86220000
2.60237199 -7.86730000
2.64502813 -7.87130000
2.68768428 -7.87400000
2.73034044 -7.87590000
2.77299659 -7.87690000
2.81565274 -7.87720000
2.81565274 -7.87720000
2.85773730 -7.87680000
2.89982187 -7.87550000
2.94190643 -7.87310000
2.98399098 -7.86950000
3.02607555 -7.86460000
3.06816011 -7.85850000
3.11024466 -7.85000000
3.15232923 -7.84290000
3.19441379 -7.83580000
3.23649834 -7.82810000
3.27858292 -7.82040000
3.32066747 -7.81280000
3.36275202 -7.80560000
3.40483660 -7.79860000
3.44692115 -7.79240000
3.48900571 -7.78690000
3.53109028 -7.78200000
3.57317483 -7.77780000
3.61525939 -7.77460000
3.65734396 -7.77190000
3.69942852 -7.76970000
3.74151307 -7.76830000
3.78359764 -7.76740000
3.82568220 -7.76710000
3.82568220 -7.76710000
3.86908669 -7.76690000
3.91249121 -7.76580000
3.95589570 -7.76420000
3.99930022 -7.76210000
4.04270471 -7.75940000
4.08610923 -7.75600000
4.12951372 -7.75210000
4.17291824 -7.74730000
4.21632273 -7.74220000
4.25972726 -7.73660000
4.30313175 -7.73080000
4.34653627 -7.72510000
4.38994076 -7.72010000
4.43334528 -7.71590000
4.47674977 -7.71280000
4.52015429 -7.71040000
4.56355878 -7.70890000
4.60696330 -7.70810000
4.65036779 -7.70820000
4.65036779 -7.70820000
4.69522478 -7.70880000
4.74008176 -7.71110000
4.78493875 -7.71480000
4.82979573 -7.71970000
4.87465272 -7.72600000
4.91950970 -7.73320000
4.96436666 -7.74090000
5.00922365 -7.74860000
5.05408063 -7.75580000
5.09893761 -7.76200000
5.14379460 -7.76690000
5.18865158 -7.76980000
5.23350857 -7.77100000

0.00000000 -7.87720000
0.04165291 -7.87640000
0.08330584 -7.87400000
0.12495874 -7.87000000
0.16661165 -7.86430000
0.20826455 -7.85700000
0.24991748 -7.84840000
0.29157039 -7.83850000
0.33322329 -7.82720000
0.37487622 -7.81460000
0.41652913 -7.80130000
0.45818204 -7.78650000
0.49983494 -7.77090000
0.54148787 -7.75430000
0.58314078 -7.73710000
0.62479368 -7.71940000
0.66644661 -7.70150000
0.70809952 -7.68390000
0.74975242 -7.66610000
0.79140533 -7.64900000
0.83305826 -7.63270000
0.87471117 -7.61730000
0.91636407 -7.60330000
0.95801700 -7.59110000
0.99966991 -7.58040000
1.04132281 -7.57200000
1.08297572 -7.56580000
1.12462865 -7.56170000
1.16628155 -7.56050000
1.16628155 -7.56050000
1.21209742 -7.56110000
1.25791329 -7.56330000
1.30372915 -7.56680000
1.34954502 -7.57140000
1.39536089 -7.57740000
1.44117676 -7.58460000
1.48699261 -7.59300000
1.53280848 -7.60240000
1.57862435 -7.61290000
1.57862435 -7.61280000
1.62128050 -7.62310000
1.66393666 -7.63420000
1.70659281 -7.64570000
1.74924896 -7.65760000
1.79190510 -7.66980000
1.83456125 -7.68220000
1.87721741 -7.69460000
1.91987356 -7.70710000
1.96252971 -7.71960000
2.00518587 -7.73160000
2.04784202 -7.74380000
2.09049817 -7.75580000
2.13315433 -7.76370000
2.17581048 -7.77070000
2.21846662 -7.77870000
2.26112277 -7.78800000
2.30377892 -7.79890000
2.34643508 -7.81110000
2.38909123 -7.82430000
2.43174738 -7.83660000
2.47440353 -7.84570000
2.51705969 -7.85280000
2.55971584 -7.85910000
2.60237199 -7.86450000
2.64502813 -7.86910000
2.68768428 -7.87260000
2.73034044 -7.87510000
2.77299659 -7.87670000
2.81565274 -7.87720000
2.81565274 -7.87720000
2.85773730 -7.87660000
2.89982187 -7.87480000
2.94190643 -7.87180000
2.98399098 -7.86770000
3.02607555 -7.86260000
3.06816011 -7.85680000
3.11024466 -7.85000000
3.15232923 -7.84290000
3.19441379 -7.83580000
3.23649834 -7.82810000
3.27858292 -7.82040000
3.32066747 -7.81280000
3.36275202 -7.80560000
3.40483660 -7.79860000
3.44692115 -7.79240000
3.48900571 -7.78690000
3.53109028 -7.78200000
3.57317483 -7.77780000
3.61525939 -7.77460000
3.65734396 -7.77180000
3.69942852 -7.76970000
3.74151307 -7.76830000
3.78359764 -7.76740000
3.82568220 -7.76710000
3.82568220 -7.76710000
3.86908669 -7.76610000
3.91249121 -7.76290000
3.95589570 -7.75820000
3.99930022 -7.75150000
4.04270471 -7.74330000
4.08610923 -7.73410000
4.12951372 -7.72430000
4.17291824 -7.71380000
4.21632273 -7.70310000
4.25972726 -7.69250000
4.30313175 -7.68220000
4.34653627 -7.67220000
4.38994076 -7.66320000
4.43334528 -7.65450000
4.47674977 -7.64690000
4.52015429 -7.64020000
4.56355878 -7.63500000
4.60696330 -7.63160000
4.65036779 -7.63050000
4.65036779 -7.63050000
4.69522478 -7.62950000
4.74008176 -7.62710000
4.78493875 -7.62320000
4.82979573 -7.61810000
4.87465272 -7.61200000
4.91950970 -7.60450000
4.96436666 -7.59630000
5.00922365 -7.58790000
5.05408063 -7.57960000
5.09893761 -7.57210000
5.14379460 -7.56590000
5.18865158 -7.56180000
5.23350857 -7.56050000

0.00000000 -7.87720000
0.04165291 -7.87640000
0.08330584 -7.87400000
0.12495874 -7.87000000
0.16661165 -7.86430000
0.20826455 -7.85700000
0.24991748 -7.84840000
0.29157039 -7.83850000
0.33322329 -7.82720000
0.37487622 -7.81460000
0.41652913 -7.80130000
0.45818204 -7.78650000
0.49983494 -7.77090000
0.54148787 -7.75430000
0.58314078 -7.73710000
0.62479368 -7.71940000
0.66644661 -7.70150000
0.70809952 -7.68390000
0.74975242 -7.66610000
0.79140533 -7.64900000
0.83305826 -7.63260000
0.87471117 -7.61730000
0.91636407 -7.60330000
0.95801700 -7.59110000
0.99966991 -7.58040000
1.04132281 -7.57190000
1.08297572 -7.56580000
1.12462865 -7.56170000
1.16628155 -7.56050000
1.16628155 -7.56050000
1.21209742 -7.56050000
1.25791329 -7.56130000
1.30372915 -7.56110000
1.34954502 -7.55950000
1.39536089 -7.55610000
1.44117676 -7.55000000
1.48699261 -7.54110000
1.53280848 -7.52970000
1.57862435 -7.51720000
1.57862435 -7.51720000
1.62128050 -7.50450000
1.66393666 -7.49240000
1.70659281 -7.48150000
1.74924896 -7.47260000
1.79190510 -7.46650000
1.83456125 -7.46450000
1.87721741 -7.46740000
1.91987356 -7.47760000
1.96252971 -7.49720000
2.00518587 -7.52700000
2.04784202 -7.56480000
2.09049817 -7.60580000
2.13315433 -7.64630000
2.17581048 -7.68410000
2.21846662 -7.71760000
2.26112277 -7.74680000
2.30377892 -7.77130000
2.34643508 -7.79050000
2.38909123 -7.80560000
2.43174738 -7.81830000
2.47440353 -7.82950000
2.51705969 -7.83980000
2.55971584 -7.84900000
2.60237199 -7.85680000
2.64502813 -7.86400000
2.68768428 -7.86960000
2.73034044 -7.87380000
2.77299659 -7.87640000
2.81565274 -7.87720000
2.81565274 -7.87720000
2.85773730 -7.87660000
2.89982187 -7.87480000
2.94190643 -7.87180000
2.98399098 -7.86770000
3.02607555 -7.86260000
3.06816011 -7.85680000
3.11024466 -7.85000000
3.15232923 -7.83910000
3.19441379 -7.82530000
3.23649834 -7.80800000
3.27858292 -7.78670000
3.32066747 -7.76100000
3.36275202 -7.73040000
3.40483660 -7.69380000
3.44692115 -7.65130000
3.48900571 -7.60250000
3.53109028 -7.54740000
3.57317483 -7.48670000
3.61525939 -7.42170000
3.65734396 -7.40080000
3.69942852 -7.39870000
3.74151307 -7.39700000
3.78359764 -7.39600000
3.82568220 -7.39560000
3.82568220 -7.39560000
3.86908669 -7.39710000
3.91249121 -7.40120000
3.95589570 -7.40770000
3.99930022 -7.41570000
4.04270471 -7.42470000
4.08610923 -7.43400000
4.12951372 -7.44300000
