# energy s p d
-1.720779999999999887e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.719549999999999912e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.718319999999999936e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.717079999999999984e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.715850000000000009e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.714610000000000056e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.713380000000000081e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.712150000000000105e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.710909999999999798e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.709679999999999822e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.708449999999999847e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.707209999999999894e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.705979999999999919e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.704739999999999966e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.703509999999999991e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.702280000000000015e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.701040000000000063e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.699810000000000088e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.698580000000000112e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.697339999999999804e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.696109999999999829e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.694869999999999877e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.693639999999999901e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.692409999999999926e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.691169999999999973e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.689939999999999998e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.688710000000000022e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.687470000000000070e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.686240000000000094e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.684999999999999787e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.683769999999999811e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.682539999999999836e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.681299999999999883e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.680069999999999908e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.678839999999999932e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.677599999999999980e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.676370000000000005e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.675130000000000052e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.673900000000000077e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.672670000000000101e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.671429999999999794e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.670199999999999818e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.668969999999999843e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.667729999999999890e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.666499999999999915e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.665259999999999962e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.664029999999999987e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.662800000000000011e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.661560000000000059e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.660330000000000084e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.659100000000000108e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.657859999999999800e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.656629999999999825e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.655389999999999873e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.654159999999999897e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.652929999999999922e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.651689999999999969e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.650459999999999994e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.649230000000000018e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.647990000000000066e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.646760000000000090e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.645520000000000138e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.644289999999999807e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.643059999999999832e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.641819999999999879e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.640589999999999904e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.639359999999999928e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.638119999999999976e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.636890000000000001e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.635650000000000048e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.634420000000000073e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.633190000000000097e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.631949999999999790e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.630719999999999814e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.629489999999999839e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.628249999999999886e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.627019999999999911e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.625779999999999959e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.624549999999999983e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.623320000000000007e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.622080000000000055e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.620850000000000080e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.619620000000000104e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.618379999999999797e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.617149999999999821e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.615909999999999869e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.614679999999999893e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.613449999999999918e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.612209999999999965e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.610979999999999990e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.609750000000000014e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.608510000000000062e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.607280000000000086e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.606040000000000134e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.604809999999999803e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.603579999999999828e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.602339999999999876e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.601109999999999900e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.599880000000000102e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.598639999999999972e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.597409999999999997e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.596170000000000044e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.594940000000000069e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.593710000000000093e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.592470000000000141e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
