  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    0.000  -14.1449     0.018     0.048     0.504
    0.033  -14.1425     0.018     0.048     0.504
    0.066  -14.1350     0.018     0.048     0.504
    0.099  -14.1227     0.018     0.048     0.504
    0.132  -14.1055     0.018     0.048     0.504
    0.165  -14.0835     0.018     0.048     0.504
    0.198  -14.0568     0.018     0.048     0.504
    0.231  -14.0255     0.018     0.048     0.512
    0.264  -13.9896     0.018     0.048     0.512
    0.297  -13.9495     0.016     0.048     0.512
    0.330  -13.9052     0.016     0.048     0.512
    0.363  -13.8569     0.016     0.048     0.520
    0.396  -13.8049     0.016     0.048     0.520
    0.430  -13.7495     0.016     0.048     0.520
    0.463  -13.6909     0.014     0.048     0.528
    0.496  -13.6295     0.014     0.048     0.528
    0.529  -13.5658     0.014     0.048     0.528
    0.562  -13.5001     0.014     0.044     0.536
    0.595  -13.4330     0.012     0.044     0.536
    0.628  -13.3652     0.012     0.044     0.542
    0.628  -13.3652     0.012     0.044     0.542
    0.639  -13.3653     0.012     0.044     0.544
    0.651  -13.3657     0.012     0.044     0.542
    0.663  -13.3665     0.012     0.044     0.540
    0.674  -13.3675     0.012     0.046     0.544
    0.686  -13.3689     0.012     0.046     0.540
    0.698  -13.3706     0.012     0.046     0.544
    0.710  -13.3727     0.012     0.046     0.540
    0.721  -13.3752     0.012     0.046     0.544
    0.733  -13.3782     0.012     0.046     0.544
    0.745  -13.3817     0.012     0.046     0.544
    0.756  -13.3858     0.012     0.046     0.544
    0.768  -13.3905     0.012     0.046     0.540
    0.780  -13.3958     0.012     0.044     0.540
    0.791  -13.4018     0.012     0.046     0.540
    0.803  -13.4085     0.012     0.046     0.540
    0.815  -13.4160     0.012     0.046     0.540
    0.826  -13.4243     0.012     0.046     0.540
    0.838  -13.4334     0.012     0.046     0.536
    0.850  -13.4433     0.012     0.048     0.540
    0.850  -13.4433     0.012     0.048     0.540
    0.885  -13.4780     0.012     0.046     0.536
    0.920  -13.5196     0.012     0.046     0.532
    0.955  -13.5669     0.012     0.048     0.532
    0.990  -13.6182     0.012     0.048     0.528
    1.025  -13.6719     0.014     0.048     0.524
    1.060  -13.7265     0.014     0.048     0.524
    1.095  -13.7805     0.014     0.048     0.520
    1.130  -13.8331     0.016     0.048     0.516
    1.165  -13.8832     0.016     0.048     0.516
    1.200  -13.9301     0.016     0.048     0.512
    1.235  -13.9733     0.016     0.048     0.512
    1.270  -14.0122     0.018     0.050     0.508
    1.305  -14.0467     0.018     0.050     0.508
    1.340  -14.0763     0.018     0.048     0.508
    1.375  -14.1008     0.018     0.048     0.504
    1.410  -14.1200     0.018     0.048     0.504
    1.445  -14.1338     0.018     0.048     0.504
    1.480  -14.1422     0.018     0.048     0.504
    1.516  -14.1449     0.018     0.048     0.504
    1.516  -14.1449     0.018     0.048     0.504
    1.544  -14.1431     0.018     0.048     0.504
    1.573  -14.1375     0.018     0.048     0.504
    1.601  -14.1283     0.018     0.048     0.504
    1.630  -14.1154     0.018     0.048     0.504
    1.659  -14.0990     0.018     0.048     0.506
    1.687  -14.0791     0.018     0.048     0.506
    1.716  -14.0559     0.018     0.047     0.506
    1.744  -14.0294     0.018     0.047     0.508
    1.773  -14.0000     0.016     0.050     0.508
    1.802  -13.9679     0.016     0.049     0.510
    1.830  -13.9334     0.016     0.049     0.512
    1.859  -13.8970     0.016     0.048     0.514
    1.888  -13.8593     0.016     0.048     0.518
    1.916  -13.8213     0.014     0.050     0.516
    1.945  -13.7844     0.014     0.049     0.520
    1.973  -13.7503     0.014     0.048     0.520
    2.002  -13.7220     0.012     0.050     0.524
    2.031  -13.7028     0.012     0.049     0.524
    2.059  -13.6959     0.012     0.048     0.526
    2.059  -13.6959     0.012     0.048     0.526
    2.083  -13.6948     0.012     0.048     0.526
    2.106  -13.6913     0.012     0.048     0.526
    2.129  -13.6857     0.012     0.048     0.526
