#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  52
# Band-Index    1
   0.00000    -14.144926  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.03304    -14.142459  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.06608    -14.135049  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.09912    -14.122723  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.13216    -14.105518  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.16520    -14.083512  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.19824    -14.056780  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.23128    -14.025460  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.26432    -13.989645  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.29736    -13.949492  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.33040    -13.905172  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.36344    -13.856892  0.044  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.39648    -13.804894  0.044  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.42952    -13.749457  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.46256    -13.690879  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.49559    -13.629516  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.52863    -13.565773  0.040  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.56167    -13.500111  0.040  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.59471    -13.433039  0.040  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.62775    -13.365182  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   0.62775    -13.365182  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   0.63943    -13.365297  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   0.65112    -13.365726  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   0.66280    -13.366452  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   0.67448    -13.367486  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.68616    -13.368854  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.69784    -13.370580  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.70952    -13.372693  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.72120    -13.375230  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.73289    -13.378234  0.040  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.74457    -13.381745  0.040  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.75625    -13.385811  0.040  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.76793    -13.390472  0.040  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.77961    -13.395777  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   0.79129    -13.401772  0.038  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.80297    -13.408498  0.040  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.81465    -13.415989  0.040  0.004  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.82634    -13.424273  0.040  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.83802    -13.433372  0.040  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.84970    -13.443302  0.042  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   0.84970    -13.443302  0.042  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   0.88474    -13.478011  0.042  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.91979    -13.519598  0.042  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   0.95483    -13.566855  0.044  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   0.98987    -13.618179  0.044  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   1.02492    -13.671895  0.044  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   1.05996    -13.726458  0.044  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   1.09500    -13.780546  0.046  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.048
   1.13005    -13.833071  0.044  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.16509    -13.883157  0.046  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.20014    -13.930079  0.046  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.23518    -13.973263  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.27022    -14.012249  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.30527    -14.046672  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   1.34031    -14.076258  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.37536    -14.100760  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.41040    -14.119993  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.44544    -14.133823  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.48049    -14.142151  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.51553    -14.144926  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.51553    -14.144926  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.54414    -14.143077  0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
