#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  52
# Band-Index    1
   0.00000    -14.144926  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.03304    -14.142459  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.06608    -14.135049  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.09912    -14.122723  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.13216    -14.105518  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.16520    -14.083512  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.19824    -14.056780  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.23128    -14.025460  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.26432    -13.989645  0.016  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   0.29736    -13.949492  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.33040    -13.905172  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.36344    -13.856892  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.39648    -13.804894  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.42952    -13.749457  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.016
   0.46256    -13.690879  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.014
   0.49559    -13.629516  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.014
   0.52863    -13.565773  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.014
   0.56167    -13.500111  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.014
   0.59471    -13.433039  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.004  0.000  0.012
   0.62775    -13.365182  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.012
   0.62775    -13.365182  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.012
   0.63943    -13.365297  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.006  0.000  0.012
