      #Energy        TDOS
     -14.42312       0.00000
     -14.41912       0.00000
     -14.41512       0.00000
     -14.41112       0.00000
     -14.40712       0.00000
     -14.40312       0.00000
     -14.39912       0.00000
     -14.39512       0.00000
     -14.39112       0.00000
     -14.38712       0.00000
     -14.38312       0.00000
     -14.37912       0.00000
     -14.37512       0.00000
     -14.37112       0.00000
     -14.36712       0.00000
     -14.36312       0.00000
     -14.35912       0.00000
     -14.35512       0.00000
     -14.35112       0.00000
     -14.34712       0.00000
     -14.34312       0.00000
     -14.33912       0.00000
     -14.33512       0.00000
     -14.33112       0.00000
     -14.32712       0.00000
     -14.32312       0.00000
     -14.31912       0.00000
     -14.31512       0.00000
     -14.31112       0.00000
     -14.30712       0.00000
     -14.30312       0.00000
     -14.29912       0.00000
     -14.29512       0.00000
     -14.29112       0.00000
     -14.28712       0.00000
     -14.28312       0.00000
     -14.27912       0.00000
     -14.27512       0.00000
     -14.27112       0.00000
     -14.26712       0.00000
     -14.26312       0.00000
     -14.25912       0.00000
     -14.25512       0.00000
     -14.25112       0.00000
     -14.24712       0.00000
     -14.24312       0.00000
     -14.23912       0.00000
     -14.23512       0.00000
     -14.23112       0.00000
     -14.22712       0.00000
     -14.22312       0.00000
     -14.21912       0.00000
     -14.21512       0.00000
     -14.21112       0.00000
     -14.20712       0.00000
     -14.20312       0.00000
     -14.19912       0.00000
     -14.19512       0.00000
     -14.19112       0.00000
     -14.18712       0.00000
     -14.18312       0.00000
     -14.17912       0.00000
     -14.17512       0.00000
     -14.17112       0.00000
     -14.16712       0.00000
     -14.16312       0.00000
     -14.15912       0.00000
     -14.15512       0.00000
     -14.15112       0.00000
     -14.14712       0.00000
     -14.14312       0.00000
     -14.13912       0.00000
     -14.13512       0.00000
     -14.13112       0.00000
     -14.12712       0.00000
     -14.12312       0.00000
     -14.11912       0.00000
     -14.11512       0.00000
     -14.11112       0.00000
     -14.10712       0.00000
     -14.10312       0.00000
     -14.09912       0.00000
     -14.09512       0.00000
     -14.09112       0.00000
     -14.08712       0.00000
     -14.08312       0.00000
     -14.07912       0.00000
     -14.07512       0.00000
     -14.07112       0.00000
     -14.06712       0.00000
     -14.06312       0.00000
     -14.05912       0.00000
     -14.05512       0.00000
     -14.05112       0.00000
     -14.04712       0.00000
     -14.04312       0.00000
     -14.03912       0.00000
     -14.03512       0.00000
     -14.03112       0.00000
     -14.02712       0.00000
     -14.02312       0.00000
     -14.01912       0.00000
     -14.01512       0.00000
     -14.01112       0.00000
     -14.00712       0.00000
     -14.00312       0.00000
     -13.99912       0.00000
     -13.99512       0.00000
     -13.99112       0.00000
     -13.98712       0.00000
     -13.98312       0.00000
     -13.97912       0.00000
     -13.97512       0.00000
     -13.97112       0.00000
     -13.96712       0.00000
     -13.96312       0.00000
     -13.95912       0.00000
     -13.95512       0.00000
     -13.95112       0.00000
     -13.94712       0.00000
     -13.94312       0.00000
     -13.93912       0.00000
     -13.93512       0.00000
     -13.93112       0.00000
     -13.92712       0.00000
     -13.92312       0.00000
     -13.91912       0.00000
     -13.91512       0.00000
     -13.91112       0.00000
     -13.90712       0.00000
     -13.90312       0.00000
     -13.89912       0.00000
     -13.89512       0.00000
     -13.89112       0.00000
     -13.88712       0.00000
     -13.88312       0.00000
     -13.87912       0.00000
     -13.87512       0.00000
     -13.87112       0.00000
     -13.86712       0.00000
     -13.86312       0.00000
     -13.85912       0.00000
     -13.85512       0.00000
     -13.85112       0.00000
     -13.84712       0.00000
     -13.84312       0.00000
     -13.83912       0.00000
     -13.83512       0.00000
     -13.83112       0.00000
     -13.82712       0.03294
     -13.82312       0.85610
     -13.81912       1.21200
     -13.81512       1.50900
     -13.81112       1.93200
     -13.80712       2.06600
     -13.80312       2.23700
     -13.79912       2.44900
     -13.79512       2.65700
     -13.79112       2.89500
     -13.78712       3.00800
     -13.78312       3.13800
     -13.77912       3.27500
     -13.77512       3.40600
     -13.77112       3.57000
     -13.76712       3.74400
     -13.76312       3.91000
     -13.75912       3.99700
     -13.75512       4.10000
     -13.75112       4.21100
     -13.74712       4.32100
     -13.74312       4.44800
     -13.73912       4.57800
     -13.73512       4.70900
     -13.73112       4.84100
     -13.72712       4.96200
     -13.72312       5.04700
     -13.71912       5.14700
     -13.71512       5.24200
     -13.71112       5.34000
     -13.70712       5.44400
     -13.70312       5.54800
     -13.69912       5.65800
     -13.69512       5.77200
     -13.69112       5.89200
     -13.68712       6.01400
     -13.68312       6.10400
     -13.67912       6.19000
     -13.67512       6.27600
     -13.67112       6.35900
     -13.66712       6.45500
     -13.66312       6.55400
     -13.65912       6.65400
     -13.65512       6.75500
     -13.65112       6.85800
     -13.64712       6.96400
     -13.64312       7.07100
     -13.63912       7.18000
     -13.63512       8.97900
     -13.63112       8.82300
     -13.62712       8.51600
     -13.62312       8.44500
     -13.61912       8.12600
     -13.61512       8.04800
     -13.61112       7.96300
     -13.60712       7.90800
     -13.60312       7.62500
     -13.59912       7.49200
     -13.59512       7.36600
     -13.59112       7.26900
     -13.58712       7.17700
     -13.58312       7.07900
     -13.57912       8.84800
     -13.57512       8.92600
     -13.57112       8.84800
     -13.56712       8.97500
     -13.56312       8.94700
     -13.55912       9.10200
     -13.55512       9.27700
     -13.55112       9.42800
     -13.54712       9.38900
     -13.54312       9.48400
     -13.53912       9.60000
     -13.53512       9.76000
     -13.53112       9.93200
     -13.52712      10.02000
     -13.52312      10.11000
     -13.51912      10.24000
     -13.51512      10.35000
     -13.51112      10.44000
     -13.50712      10.56000
     -13.50312      10.70000
     -13.49912      10.84000
     -13.49512      10.93000
     -13.49112      11.04000
     -13.48712      11.16000
     -13.48312      11.30000
     -13.47912      11.46000
     -13.47512      11.64000
     -13.47112      13.03000
     -13.46712      12.01000
     -13.46312      12.10000
     -13.45912      12.30000
     -13.45512      12.47000
     -13.45112      12.56000
     -13.44712      12.70000
     -13.44312      12.80000
     -13.43912      13.26000
     -13.43512      13.44000
     -13.43112      13.58000
     -13.42712      13.66000
     -13.42312      16.77000
     -13.41912      14.88000
     -13.41512      14.29000
     -13.41112      14.26000
     -13.40712      14.09000
     -13.40312      14.62000
     -13.39912      14.81000
     -13.39512      15.09000
     -13.39112      15.35000
     -13.38712      15.57000
     -13.38312      15.55000
     -13.37912      19.27000
     -13.37512      18.39000
     -13.37112      19.33000
     -13.36712      22.52000
     -13.36312      19.83000
     -13.35912      18.05000
     -13.35512      18.43000
