     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -14.27072     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.26672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.26272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.25872     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.25472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.25072     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.24672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.24272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.23872     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.23472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.23072     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.22672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.22272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.21872     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.21472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.21072     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.20672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.20272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.19872     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.19472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.19072     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.18672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.18272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.17872     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.17472     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.17072     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.16672     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.16272     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.15872    14.51040     0.15005     0.15005     0.15005     0.00000     0.00000     0.00000     0.00000     0.00000    14.96054
   -14.15472    19.30400     0.20432     0.20432     0.20432     0.00000     0.00000     0.00000     0.00000     0.00000    19.91696
   -14.15072    16.28000     0.17082     0.17082     0.17082     0.00000     0.00000     0.00000     0.00000     0.00000    16.79245
   -14.14672    14.99840     0.15746     0.15746     0.15746     0.00000     0.00000     0.00000     0.00000     0.00000    15.47077
   -14.14272    14.55040     0.15312     0.15312     0.15312     0.00000     0.00000     0.00000     0.00000     0.00000    15.00976
   -14.13872    14.91040     0.15733     0.15733     0.15733     0.00000     0.00000     0.00000     0.00000     0.00000    15.38238
   -14.13472    12.81120     0.13619     0.13619     0.13619     0.00000     0.00000     0.00000     0.00000     0.00000    13.21978
   -14.13072    14.66400     0.15598     0.15598     0.15598     0.00000     0.00000     0.00000     0.00000     0.00000    15.13195
   -14.12672    13.29120     0.14296     0.14296     0.14296     0.00000     0.00000     0.00000     0.00000     0.00000    13.72008
   -14.12272    15.47200     0.16806     0.16806     0.16806     0.00000     0.00000     0.00000     0.00000     0.00000    15.97619
   -14.11872    13.40960     0.14619     0.14619     0.14619     0.00000     0.00000     0.00000     0.00000     0.00000    13.84818
   -14.11472    10.75520     0.11786     0.11786     0.11786     0.00000     0.00000     0.00000     0.00000     0.00000    11.10877
   -14.11072    15.56000     0.17445     0.17445     0.17445     0.00000     0.00000     0.00000     0.00000     0.00000    16.08334
   -14.10672     7.75520     0.08592     0.08592     0.08592     0.00000     0.00000     0.00000     0.00000     0.00000     8.01296
   -14.10272    11.55680     0.12931     0.12931     0.12931     0.00000     0.00000     0.00000     0.00000     0.00000    11.94474
   -14.09872    13.18880     0.15074     0.15074     0.15074     0.00000     0.00000     0.00000     0.00000     0.00000    13.64101
   -14.09472    11.32800     0.13134     0.13134     0.13134     0.00000     0.00000     0.00000     0.00000     0.00000    11.72203
   -14.09072    12.03840     0.13946     0.13946     0.13946     0.00000     0.00000     0.00000     0.00000     0.00000    12.45677
   -14.08672    11.75520     0.13741     0.13741     0.13741     0.00000     0.00000     0.00000     0.00000     0.00000    12.16742
   -14.08272    10.95360     0.12963     0.12963     0.12963     0.00000     0.00000     0.00000     0.00000     0.00000    11.34250
   -14.07872    11.87200     0.14227     0.14227     0.14227     0.00000     0.00000     0.00000     0.00000     0.00000    12.29882
   -14.07472    11.03520     0.13376     0.13376     0.13376     0.00000     0.00000     0.00000     0.00000     0.00000    11.43648
   -14.07072    10.78560     0.13203     0.13203     0.13203     0.00000     0.00000     0.00000     0.00000     0.00000    11.18170
   -14.06672    11.32640     0.14019     0.14019     0.14019     0.00000     0.00000     0.00000     0.00000     0.00000    11.74698
   -14.06272    11.07520     0.13830     0.13830     0.13830     0.00000     0.00000     0.00000     0.00000     0.00000    11.49011
   -14.05872    10.64000     0.13453     0.13453     0.13453     0.00000     0.00000     0.00000     0.00000     0.00000    11.04358
   -14.05472    10.72800     0.13718     0.13718     0.13718     0.00000     0.00000     0.00000     0.00000     0.00000    11.13955
   -14.05072    11.58400     0.14962     0.14962     0.14962     0.00000     0.00000     0.00000     0.00000     0.00000    12.03285
   -14.04672    11.36320     0.14800     0.14800     0.14800     0.00000     0.00000     0.00000     0.00000     0.00000    11.80720
   -14.04272    10.34080     0.13562     0.13562     0.13562     0.00000     0.00000     0.00000     0.00000     0.00000    10.74765
   -14.03872    11.49920     0.15165     0.15165     0.15165     0.00000     0.00000     0.00000     0.00000     0.00000    11.95414
   -14.03472    16.68160     0.22035     0.22035     0.22035     0.00000     0.00000     0.00000     0.00000     0.00000    17.34266
   -14.03072    14.99360     0.19848     0.19848     0.19848     0.00000     0.00000     0.00000     0.00000     0.00000    15.58904
   -14.02672    13.54720     0.18062     0.18062     0.18062     0.00000     0.00000     0.00000     0.00000     0.00000    14.08907
   -14.02272    12.72160     0.17069     0.17069     0.17069     0.00000     0.00000     0.00000     0.00000     0.00000    13.23366
   -14.01872    12.50560     0.16898     0.16898     0.16898     0.00000     0.00000     0.00000     0.00000     0.00000    13.01253
   -14.01472    13.30560     0.18154     0.18154     0.18154     0.00000     0.00000     0.00000     0.00000     0.00000    13.85021
   -14.01072    12.84640     0.17699     0.17699     0.17699     0.00000     0.00000     0.00000     0.00000     0.00000    13.37738
   -14.00672    11.66240     0.16195     0.16195     0.16195     0.00000     0.00000     0.00000     0.00000     0.00000    12.14826
   -14.00272    10.24960     0.14323     0.14323     0.14323     0.00000     0.00000     0.00000     0.00000     0.00000    10.67930
   -13.99872     6.61760     0.09411     0.09411     0.09411     0.00000     0.00000     0.00000     0.00000     0.00000     6.89994
   -13.99472     6.92960     0.09890     0.09890     0.09890     0.00000     0.00000     0.00000     0.00000     0.00000     7.22629
   -13.99072     7.73280     0.11070     0.11070     0.11070     0.00000     0.00000     0.00000     0.00000     0.00000     8.06491
   -13.98672     8.18880     0.11739     0.11739     0.11739     0.00000     0.00000     0.00000     0.00000     0.00000     8.54098
   -13.98272     7.78400     0.11282     0.11282     0.11282     0.00000     0.00000     0.00000     0.00000     0.00000     8.12245
   -13.97872     7.26240     0.10608     0.10608     0.10608     0.00000     0.00000     0.00000     0.00000     0.00000     7.58064
   -13.97472     6.62240     0.09798     0.09798     0.09798     0.00000     0.00000     0.00000     0.00000     0.00000     6.91635
   -13.97072     6.25280     0.09363     0.09363     0.09363     0.00000     0.00000     0.00000     0.00000     0.00000     6.53370
   -13.96672     5.74400     0.08706     0.08706     0.08706     0.00000     0.00000     0.00000     0.00000     0.00000     6.00517
   -13.96272     5.26400     0.08098     0.08098     0.08098     0.00000     0.00000     0.00000     0.00000     0.00000     5.50693
   -13.95872     4.79840     0.07469     0.07469     0.07469     0.00000     0.00000     0.00000     0.00000     0.00000     5.02246
   -13.95472     4.30880     0.06770     0.06770     0.06770     0.00000     0.00000     0.00000     0.00000     0.00000     4.51189
   -13.95072     3.99040     0.06318     0.06318     0.06318     0.00000     0.00000     0.00000     0.00000     0.00000     4.17995
   -13.94672     3.68480     0.05885     0.05885     0.05885     0.00000     0.00000     0.00000     0.00000     0.00000     3.86134
   -13.94272     2.54688     0.04066     0.04066     0.04066     0.00000     0.00000     0.00000     0.00000     0.00000     2.66885
   -13.93872     2.23696     0.03515     0.03515     0.03515     0.00000     0.00000     0.00000     0.00000     0.00000     2.34242
   -13.93472     1.55568     0.02428     0.02428     0.02428     0.00000     0.00000     0.00000     0.00000     0.00000     1.62852
   -13.93072     1.55456     0.02459     0.02459     0.02459     0.00000     0.00000     0.00000     0.00000     0.00000     1.62833
   -13.92672     2.24336     0.03638     0.03638     0.03638     0.00000     0.00000     0.00000     0.00000     0.00000     2.35251
   -13.92272     2.96016     0.04883     0.04883     0.04883     0.00000     0.00000     0.00000     0.00000     0.00000     3.10666
   -13.91872     3.67840     0.06181     0.06181     0.06181     0.00000     0.00000     0.00000     0.00000     0.00000     3.86382
   -13.91472     4.25600     0.07275     0.07275     0.07275     0.00000     0.00000     0.00000     0.00000     0.00000     4.47426
   -13.91072     4.76480     0.08278     0.08278     0.08278     0.00000     0.00000     0.00000     0.00000     0.00000     5.01315
   -13.90672     4.86720     0.08594     0.08594     0.08594     0.00000     0.00000     0.00000     0.00000     0.00000     5.12501
   -13.90272     5.37760     0.09632     0.09632     0.09632     0.00000     0.00000     0.00000     0.00000     0.00000     5.66656
   -13.89872     5.06400     0.09210     0.09210     0.09210     0.00000     0.00000     0.00000     0.00000     0.00000     5.34029
   -13.89472     5.30720     0.09784     0.09784     0.09784     0.00000     0.00000     0.00000     0.00000     0.00000     5.60072
   -13.89072     5.72320     0.10701     0.10701     0.10701     0.00000     0.00000     0.00000     0.00000     0.00000     6.04422
   -13.88672     5.18720     0.09906     0.09906     0.09906     0.00000     0.00000     0.00000     0.00000     0.00000     5.48437
   -13.88272     4.67840     0.09120     0.09120     0.09120     0.00000     0.00000     0.00000     0.00000     0.00000     4.95200
   -13.87872     5.02400     0.09974     0.09974     0.09974     0.00000     0.00000     0.00000     0.00000     0.00000     5.32323
   -13.87472     4.93600     0.09962     0.09962     0.09962     0.00000     0.00000     0.00000     0.00000     0.00000     5.23485
   -13.87072     3.99360     0.08197     0.08197     0.08197     0.00000     0.00000     0.00000     0.00000     0.00000     4.23950
   -13.86672     4.22720     0.08829     0.08829     0.08829     0.00000     0.00000     0.00000     0.00000     0.00000     4.49206
   -13.86272     4.06880     0.08614     0.08614     0.08614     0.00000     0.00000     0.00000     0.00000     0.00000     4.32723
   -13.85872     6.66400     0.14424     0.14424     0.14424     0.00000     0.00000     0.00000     0.00000     0.00000     7.09672
   -13.85472     6.88640     0.14872     0.14872     0.14872     0.00000     0.00000     0.00000     0.00000     0.00000     7.33256
   -13.85072     7.12160     0.15589     0.15589     0.15589     0.00000     0.00000     0.00000     0.00000     0.00000     7.58926
   -13.84672     6.48000     0.14373     0.14373     0.14373     0.00000     0.00000     0.00000     0.00000     0.00000     6.91118
   -13.84272     5.87520     0.13208     0.13208     0.13208     0.00000     0.00000     0.00000     0.00000     0.00000     6.27144
   -13.83872     6.02400     0.13710     0.13710     0.13710     0.00000     0.00000     0.00000     0.00000     0.00000     6.43531
   -13.83472     5.44320     0.12614     0.12614     0.12614     0.00000     0.00000     0.00000     0.00000     0.00000     5.82163
   -13.83072     5.58720     0.13246     0.13246     0.13246     0.00000     0.00000     0.00000     0.00000     0.00000     5.98459
   -13.82672     5.54560     0.13392     0.13392     0.13392     0.00000     0.00000     0.00000     0.00000     0.00000     5.94736
   -13.82272     4.77600     0.11739     0.11739     0.11739     0.00000     0.00000     0.00000     0.00000     0.00000     5.12818
   -13.81872     4.21120     0.10499     0.10499     0.10499     0.00000     0.00000     0.00000     0.00000     0.00000     4.52618
   -13.81472     4.14240     0.10576     0.10576     0.10576     0.00000     0.00000     0.00000     0.00000     0.00000     4.45968
   -13.81072     4.23840     0.11198     0.11198     0.11198     0.00000     0.00000     0.00000     0.00000     0.00000     4.57435
   -13.80672     4.38880     0.11818     0.11818     0.11818     0.00000     0.00000     0.00000     0.00000     0.00000     4.74333
   -13.80272     4.37120     0.12005     0.12005     0.12005     0.00000     0.00000     0.00000     0.00000     0.00000     4.73134
   -13.79872     4.14240     0.11558     0.11558     0.11558     0.00000     0.00000     0.00000     0.00000     0.00000     4.48915
   -13.79472     4.09120     0.11584     0.11584     0.11584     0.00000     0.00000     0.00000     0.00000     0.00000     4.43872
