      #Energy        TDOS
     -13.26959       0.00000
     -13.26559       0.00405
     -13.26159       0.00812
     -13.25759       0.01220
     -13.25359       0.01630
     -13.24959       0.02040
     -13.24559       0.02452
     -13.24159       0.02865
     -13.23759       0.03280
     -13.23359       0.03695
     -13.22959       0.04112
     -13.22559       0.04530
     -13.22159       0.04949
     -13.21759       0.05369
     -13.21359       0.05791
     -13.20959       0.06213
     -13.20559       0.06637
     -13.20159       0.07062
     -13.19759       0.07489
     -13.19359       0.07917
     -13.18959       0.08346
     -13.18559       0.08776
     -13.18159       0.09208
     -13.17759       0.09641
     -13.17359       0.10075
     -13.16959       0.10511
     -13.16559       0.10949
     -13.16159       0.11391
     -13.15759       0.11835
     -13.15359       0.12281
     -13.14959       0.12730
     -13.14559       0.13180
     -13.14159       0.13633
     -13.13759       0.14088
     -13.13359       0.14544
     -13.12959       0.15002
     -13.12559       0.15462
     -13.12159       0.15925
     -13.11759       0.16389
     -13.11359       0.16855
     -13.10959       0.17323
     -13.10559       0.17793
     -13.10159       0.18265
     -13.09759       0.18738
     -13.09359       0.19214
     -13.08959       0.19691
     -13.08559       0.20170
     -13.08159       0.20651
     -13.07759       0.21134
     -13.07359       0.21619
     -13.06959       0.22105
     -13.06559       0.22594
     -13.06159       0.23084
     -13.05759       0.23577
     -13.05359       0.24071
     -13.04959       0.24567
     -13.04559       0.25064
     -13.04159       0.25564
     -13.03759       0.26066
     -13.03359       0.26570
     -13.02959       0.27075
     -13.02559       0.27583
     -13.02159       0.28095
     -13.01759       0.28614
     -13.01359       0.29137
     -13.00959       0.29664
     -13.00559       0.30195
     -13.00159       0.30729
     -12.99759       0.31267
     -12.99359       0.31809
     -12.98959       0.32354
     -12.98559       0.32902
     -12.98159       0.33454
     -12.97759       0.34009
     -12.97359       0.34567
     -12.96959       0.35128
     -12.96559       0.35693
     -12.96159       0.36261
     -12.95759       0.36832
     -12.95359       0.37407
     -12.94959       0.37985
     -12.94559       0.38566
     -12.94159       0.39150
     -12.93759       0.39738
     -12.93359       0.40329
     -12.92959       0.40924
     -12.92559       0.41522
     -12.92159       0.42122
     -12.91759       0.42727
     -12.91359       0.43334
     -12.90959       0.43945
     -12.90559       0.44560
     -12.90159       0.45178
     -12.89759       0.45800
     -12.89359       0.46425
     -12.88959       0.47053
     -12.88559       0.47691
