      #Energy        TDOS
     -13.26959       1.01200
     -13.26559       1.01500
     -13.26159       1.01800
     -13.25759       1.02200
     -13.25359       1.02500
     -13.24959       1.02800
     -13.24559       1.03100
     -13.24159       1.03400
     -13.23759       1.03700
     -13.23359       1.04000
     -13.22959       1.04300
     -13.22559       1.04600
     -13.22159       1.04900
     -13.21759       1.05200
     -13.21359       1.05500
     -13.20959       1.05800
     -13.20559       1.06100
     -13.20159       1.06500
     -13.19759       1.06800
     -13.19359       1.07100
     -13.18959       1.07400
     -13.18559       1.07700
     -13.18159       1.08100
     -13.17759       1.08400
     -13.17359       1.08700
     -13.16959       1.09000
     -13.16559       1.10100
     -13.16159       1.10700
     -13.15759       1.11300
     -13.15359       1.11800
     -13.14959       1.12400
     -13.14559       1.12900
     -13.14159       1.13400
     -13.13759       1.13800
     -13.13359       1.14300
     -13.12959       1.14800
     -13.12559       1.15300
     -13.12159       1.15800
     -13.11759       1.16300
     -13.11359       1.16700
     -13.10959       1.17200
     -13.10559       1.17700
     -13.10159       1.18100
     -13.09759       1.18600
     -13.09359       1.19100
     -13.08959       1.19500
     -13.08559       1.20000
     -13.08159       1.20500
     -13.07759       1.20900
     -13.07359       1.21400
     -13.06959       1.21900
     -13.06559       1.22300
     -13.06159       1.22800
     -13.05759       1.23300
     -13.05359       1.23700
     -13.04959       1.24200
     -13.04559       1.24700
     -13.04159       1.25200
     -13.03759       1.25600
     -13.03359       1.26100
     -13.02959       1.26600
     -13.02559       1.27200
     -13.02159       1.28900
     -13.01759       1.30400
     -13.01359       1.31300
     -13.00959       1.32200
     -13.00559       1.33100
     -13.00159       1.34000
     -12.99759       1.35000
     -12.99359       1.35800
     -12.98959       1.36600
     -12.98559       1.37400
     -12.98159       1.38300
     -12.97759       1.39100
     -12.97359       1.39900
     -12.96959       1.40700
     -12.96559       1.41600
     -12.96159       1.42400
     -12.95759       1.43200
     -12.95359       1.44000
     -12.94959       1.44900
     -12.94559       1.45700
     -12.94159       1.46500
