#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 140  40
# Band-Index    1
   0.00000    -15.640146  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.01349    -15.640147  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.02698    -15.640148  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.04047    -15.640150  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.05396    -15.640154  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.06745    -15.640158  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.08094    -15.640164  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.09442    -15.640168  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   0.10791    -15.640175  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.12140    -15.640182  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.13489    -15.640188  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.14838    -15.640194  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.16187    -15.640201  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.17536    -15.640207  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.18885    -15.640212  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.20234    -15.640217  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.21583    -15.640219  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.22932    -15.640221  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.24281    -15.640222  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.25630    -15.640222  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.25630    -15.640222  0.004  0.000  0.003  0.000  0.000  0.000  0.848  0.000  0.000  0.856
   0.31197    -15.641236  0.004  0.000  0.003  0.000  0.008  0.000  0.835  0.004  0.000  0.855
   0.36764    -15.644490  0.004  0.000  0.003  0.000  0.033  0.000  0.795  0.017  0.000  0.854
   0.42331    -15.650569  0.004  0.000  0.003  0.000  0.076  0.001  0.726  0.041  0.001  0.852
   0.47898    -15.660198  0.004  0.000  0.003  0.001  0.134  0.002  0.629  0.073  0.003  0.848
   0.53465    -15.673829  0.005  0.000  0.002  0.001  0.200  0.004  0.515  0.110  0.007  0.844
   0.59033    -15.691247  0.004  0.000  0.002  0.001  0.262  0.007  0.401  0.149  0.013  0.839
   0.64600    -15.711519  0.004  0.000  0.002  0.002  0.311  0.011  0.300  0.183  0.019  0.833
   0.70167    -15.733318  0.004  0.000  0.001  0.002  0.346  0.017  0.220  0.209  0.027  0.828
   0.75734    -15.755319  0.003  0.000  0.001  0.002  0.367  0.023  0.160  0.229  0.035  0.822
   0.81301    -15.776420  0.003  0.000  0.001  0.003  0.377  0.031  0.115  0.242  0.045  0.818
   0.86868    -15.795810  0.003  0.001  0.001  0.003  0.380  0.039  0.083  0.249  0.056  0.814
   0.92435    -15.812933  0.002  0.001  0.001  0.003  0.376  0.049  0.058  0.252  0.068  0.810
   0.98003    -15.827460  0.002  0.001  0.000  0.003  0.368  0.060  0.040  0.251  0.082  0.807
   1.03570    -15.839254  0.001  0.001  0.000  0.003  0.355  0.072  0.027  0.247  0.098  0.805
   1.09137    -15.848328  0.001  0.001  0.000  0.003  0.338  0.087  0.017  0.239  0.116  0.803
   1.14704    -15.854839  0.000  0.002  0.000  0.003  0.318  0.103  0.010  0.228  0.137  0.802
   1.20271    -15.859064  0.000  0.002  0.000  0.003  0.295  0.121  0.005  0.214  0.161  0.801
   1.25838    -15.861382  0.000  0.002  0.000  0.003  0.268  0.141  0.001  0.197  0.188  0.800
   1.31406    -15.862243  0.000  0.003  0.000  0.003  0.238  0.162  0.000  0.177  0.217  0.800
   1.31406    -15.862243  0.000  0.003  0.000  0.003  0.223  0.173  0.000  0.166  0.233  0.800
   1.34332    -15.862272  0.000  0.003  0.000  0.003  0.231  0.167  0.000  0.172  0.224  0.800
   1.37258    -15.862102  0.000  0.003  0.000  0.003  0.240  0.161  0.000  0.177  0.216  0.800
   1.40185    -15.861801  0.000  0.002  0.000  0.003  0.249  0.154  0.001  0.183  0.207  0.800
   1.43111    -15.861431  0.000  0.002  0.000  0.003  0.258  0.148  0.002  0.189  0.198  0.800
   1.46038    -15.861045  0.000  0.002  0.000  0.003  0.267  0.141  0.004  0.194  0.189  0.801
   1.48964    -15.860693  0.000  0.002  0.000  0.003  0.276  0.134  0.006  0.199  0.180  0.801
   1.51890    -15.860406  0.000  0.002  0.000  0.003  0.286  0.127  0.008  0.204  0.172  0.801
   1.54817    -15.860208  0.000  0.002  0.000  0.003  0.295  0.120  0.010  0.208  0.164  0.802
   1.57743    -15.860113  0.001  0.002  0.000  0.003  0.303  0.113  0.013  0.212  0.156  0.802
   1.60670    -15.860122  0.001  0.002  0.000  0.003  0.311  0.106  0.015  0.215  0.149  0.803
   1.63596    -15.860226  0.001  0.002  0.000  0.003  0.319  0.101  0.018  0.218  0.142  0.803
   1.66522    -15.860406  0.001  0.001  0.000  0.003  0.326  0.095  0.020  0.221  0.136  0.804
   1.69449    -15.860641  0.001  0.001  0.000  0.003  0.332  0.090  0.023  0.223  0.131  0.804
   1.72375    -15.860904  0.001  0.001  0.000  0.003  0.337  0.086  0.025  0.224  0.127  0.805
   1.75302    -15.861168  0.001  0.001  0.000  0.003  0.342  0.082  0.026  0.226  0.123  0.805
   1.78228    -15.861405  0.001  0.001  0.000  0.003  0.345  0.080  0.028  0.227  0.120  0.805
   1.81154    -15.861591  0.001  0.001  0.000  0.003  0.348  0.078  0.029  0.227  0.118  0.805
   1.84081    -15.861710  0.001  0.001  0.000  0.003  0.349  0.076  0.030  0.228  0.117  0.806
   1.87007    -15.861751  0.001  0.001  0.000  0.003  0.350  0.076  0.030  0.228  0.117  0.806
   1.87007    -15.861751  0.001  0.001  0.000  0.003  0.350  0.076  0.030  0.228  0.117  0.806
   1.91932    -15.860253  0.001  0.001  0.000  0.003  0.350  0.076  0.031  0.227  0.117  0.806
   1.96856    -15.855788  0.001  0.001  0.000  0.003  0.349  0.075  0.034  0.226  0.116  0.806
   2.01780    -15.848422  0.002  0.001  0.000  0.003  0.347  0.075  0.040  0.224  0.116  0.807
   2.06705    -15.838274  0.002  0.001  0.000  0.003  0.344  0.074  0.048  0.221  0.115  0.809
   2.11629    -15.825510  0.002  0.001  0.001  0.003  0.341  0.072  0.060  0.217  0.114  0.811
   2.16553    -15.810372  0.003  0.001  0.001  0.003  0.335  0.070  0.077  0.211  0.112  0.814
   2.21478    -15.793172  0.003  0.001  0.001  0.002  0.328  0.068  0.100  0.204  0.109  0.816
   2.26402    -15.774326  0.003  0.001  0.001  0.002  0.317  0.065  0.130  0.195  0.106  0.820
   2.31326    -15.754362  0.004  0.001  0.001  0.002  0.302  0.060  0.171  0.182  0.101  0.823
   2.36251    -15.733955  0.004  0.001  0.001  0.002  0.281  0.055  0.225  0.166  0.094  0.829
   2.41175    -15.713930  0.004  0.000  0.002  0.001  0.252  0.048  0.295  0.146  0.084  0.833
   2.46099    -15.695231  0.004  0.000  0.002  0.001  0.215  0.040  0.381  0.121  0.072  0.838
   2.51024    -15.678791  0.004  0.000  0.002  0.001  0.171  0.031  0.480  0.095  0.057  0.843
   2.55948    -15.665319  0.005  0.000  0.002  0.001  0.124  0.022  0.584  0.068  0.041  0.847
   2.60872    -15.655104  0.004  0.000  0.003  0.000  0.080  0.014  0.678  0.043  0.027  0.850
   2.65797    -15.647961  0.004  0.000  0.003  0.000  0.045  0.008  0.754  0.023  0.015  0.853
   2.70721    -15.643410  0.004  0.000  0.003  0.000  0.020  0.003  0.808  0.010  0.007  0.855
   2.75645    -15.640930  0.004  0.000  0.003  0.000  0.005  0.001  0.838  0.002  0.002  0.856
   2.80570    -15.640146  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   2.80570    -15.640146  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
   2.86280    -15.641214  0.004  0.000  0.003  0.000  0.009  0.000  0.835  0.004  0.000  0.856
   2.91990    -15.644653  0.004  0.000  0.003  0.000  0.035  0.000  0.793  0.018  0.000  0.854
   2.97700    -15.651106  0.004  0.000  0.003  0.000  0.080  0.001  0.719  0.043  0.001  0.852
   3.03410    -15.661349  0.004  0.000  0.003  0.001  0.141  0.002  0.618  0.076  0.004  0.848
   3.09119    -15.675816  0.004  0.000  0.002  0.001  0.208  0.004  0.500  0.115  0.008  0.843
   3.14829    -15.694182  0.004  0.000  0.002  0.001  0.270  0.008  0.384  0.154  0.013  0.838
   3.20539    -15.715348  0.004  0.000  0.002  0.002  0.319  0.012  0.284  0.188  0.020  0.832
   3.26249    -15.737853  0.004  0.000  0.001  0.002  0.351  0.018  0.206  0.214  0.029  0.826
