#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 140  40
# Band-Index    1
   0.00000    -15.640146  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.01349    -15.640147  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.02698    -15.640148  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.04047    -15.640150  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.05396    -15.640154  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.06745    -15.640158  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.08094    -15.640164  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.09442    -15.640168  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.10791    -15.640175  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.12140    -15.640182  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.13489    -15.640188  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.14838    -15.640194  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.16187    -15.640201  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.17536    -15.640207  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.18885    -15.640212  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.20234    -15.640217  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.21583    -15.640219  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.22932    -15.640221  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.24281    -15.640222  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.25630    -15.640222  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
