      #Energy        TDOS
     -14.27072       0.00000
     -14.26672       0.00000
     -14.26272       0.00000
     -14.25872       0.00000
     -14.25472       0.00000
     -14.25072       0.00000
     -14.24672       0.00000
     -14.24272       0.00000
     -14.23872       0.00000
     -14.23472       0.00000
     -14.23072       0.00000
     -14.22672       0.00000
     -14.22272       0.00000
     -14.21872       0.00000
     -14.21472       0.00000
     -14.21072       0.00000
     -14.20672       0.00000
     -14.20272       0.00000
     -14.19872       0.00000
     -14.19472       0.00000
     -14.19072       0.00000
     -14.18672       0.00000
     -14.18272       0.00000
     -14.17872       0.00000
     -14.17472       0.00000
     -14.17072       0.00000
     -14.16672       0.00000
     -14.16272       0.00000
     -14.15872     130.90000
     -14.15472     175.50000
     -14.15072     148.30000
     -14.14672     137.10000
     -14.14272     133.50000
     -14.13872     137.40000
     -14.13472     118.60000
     -14.13072     136.30000
     -14.12672     124.30000
     -14.12272     145.40000
     -14.11872     126.50000
     -14.11472     102.00000
     -14.11072     148.70000
     -14.10672      74.28000
     -14.10272     111.30000
     -14.09872     128.10000
     -14.09472     110.70000
     -14.09072     118.10000
     -14.08672     116.00000
     -14.08272     108.80000
     -14.07872     118.70000
     -14.07472     111.00000
     -14.07072     109.10000
     -14.06672     115.30000
     -14.06272     113.50000
     -14.05872     109.70000
     -14.05472     111.40000
     -14.05072     121.00000
     -14.04672     119.40000
     -14.04272     109.40000
     -14.03872     122.30000
     -14.03472     178.30000
     -14.03072     161.10000
     -14.02672     146.40000
     -14.02272     138.30000
     -14.01872     136.70000
     -14.01472     146.40000
     -14.01072     142.30000
     -14.00672     129.90000
     -14.00272     114.80000
     -13.99872      74.84000
     -13.99472      78.87000
     -13.99072      88.41000
     -13.98672      94.06000
     -13.98272      90.13000
     -13.97872      84.68000
     -13.97472      77.83000
     -13.97072      74.08000
     -13.96672      68.61000
     -13.96272      63.44000
     -13.95872      58.33000
     -13.95472      52.75000
     -13.95072      49.17000
     -13.94672      45.76000
     -13.94272      31.79000
     -13.93872      27.92000
     -13.93472      19.52000
     -13.93072      19.72000
     -13.92672      28.79000
     -13.92272      38.35000
     -13.91872      48.22000
     -13.91472      56.54000
     -13.91072      64.02000
     -13.90672      66.13000
     -13.90272      73.86000
     -13.89872      70.41000
     -13.89472      74.62000
     -13.89072      81.42000
     -13.88672      74.92000
     -13.88272      68.60000
     -13.87872      74.69000
     -13.87472      74.41000
     -13.87072      61.01000
     -13.86672      65.49000
     -13.86272      63.76000
     -13.85872     106.20000
     -13.85472     109.90000
     -13.85072     115.00000
     -13.84672     105.80000
     -13.84272      97.06000
     -13.83872     100.60000
     -13.83472      92.17000
     -13.83072      96.30000
     -13.82672      97.04000
     -13.82272      84.78000
     -13.81872      75.64000
     -13.81472      75.84000
     -13.81072      79.68000
     -13.80672      83.81000
     -13.80272      84.83000
     -13.79872      81.53000
     -13.79472      81.55000
     -13.79072      87.80000
     -13.78672      97.20000
