#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  76
# Band-Index    1
   0.00000    -14.443734  0.002  0.000  0.000  0.000  0.008  0.000  0.471  0.008  0.312  0.801
   0.03123    -14.443222  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.586  0.801
   0.06245    -14.441678  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.800
   0.09368    -14.439023  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.800
   0.12491    -14.435414  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.800
   0.15614    -14.430810  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.800
   0.18736    -14.425061  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.800
   0.21859    -14.418240  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.800
   0.24982    -14.410314  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.804
   0.28104    -14.401271  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.804
   0.31227    -14.391143  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.804
   0.34350    -14.379796  0.000  0.000  0.000  0.000  0.000  0.000  0.196  0.016  0.588  0.804
   0.37472    -14.368214  0.000  0.000  0.000  0.000  0.006  0.006  0.544  0.000  0.260  0.816
   0.40595    -14.357715  0.000  0.000  0.000  0.000  0.006  0.006  0.554  0.000  0.254  0.818
   0.43718    -14.347534  0.000  0.000  0.000  0.000  0.004  0.006  0.566  0.000  0.244  0.820
   0.46841    -14.338045  0.000  0.000  0.000  0.000  0.004  0.004  0.578  0.000  0.236  0.822
   0.49963    -14.329780  0.000  0.002  0.000  0.000  0.002  0.002  0.590  0.000  0.226  0.824
   0.53086    -14.323258  0.000  0.002  0.000  0.000  0.002  0.002  0.604  0.000  0.214  0.826
   0.56209    -14.318983  0.000  0.002  0.000  0.000  0.002  0.002  0.614  0.000  0.208  0.828
   0.59331    -14.317520  0.000  0.002  0.000  0.000  0.002  0.002  0.616  0.000  0.206  0.828
   0.59331    -14.317520  0.000  0.002  0.000  0.000  0.002  0.002  0.616  0.000  0.206  0.828
   0.60435    -14.317809  0.000  0.002  0.000  0.000  0.002  0.002  0.614  0.000  0.206  0.828
   0.61539    -14.318747  0.000  0.002  0.000  0.000  0.002  0.002  0.610  0.000  0.212  0.828
   0.62643    -14.320118  0.000  0.002  0.000  0.000  0.002  0.002  0.602  0.000  0.216  0.828
   0.63747    -14.321929  0.000  0.002  0.000  0.000  0.002  0.002  0.592  0.000  0.224  0.826
   0.64852    -14.324075  0.000  0.002  0.000  0.000  0.002  0.002  0.584  0.002  0.234  0.824
   0.65956    -14.326563  0.000  0.002  0.000  0.000  0.002  0.002  0.574  0.002  0.242  0.824
   0.67060    -14.329237  0.000  0.002  0.000  0.000  0.002  0.002  0.566  0.002  0.250  0.824
   0.68164    -14.332069  0.000  0.000  0.000  0.000  0.002  0.002  0.558  0.002  0.256  0.822
   0.69268    -14.335036  0.000  0.000  0.000  0.000  0.002  0.002  0.552  0.002  0.262  0.820
   0.70372    -14.338092  0.000  0.000  0.000  0.000  0.002  0.002  0.544  0.002  0.266  0.820
   0.71476    -14.341207  0.000  0.000  0.000  0.000  0.002  0.002  0.538  0.002  0.272  0.820
   0.72580    -14.344361  0.000  0.000  0.000  0.000  0.002  0.002  0.534  0.002  0.276  0.818
   0.73684    -14.347522  0.000  0.000  0.000  0.000  0.002  0.002  0.530  0.002  0.279  0.818
   0.74788    -14.350702  0.000  0.000  0.000  0.000  0.002  0.002  0.526  0.002  0.282  0.816
   0.75892    -14.353876  0.000  0.000  0.000  0.000  0.002  0.002  0.524  0.002  0.284  0.814
   0.76996    -14.356953  0.000  0.000  0.000  0.000  0.002  0.002  0.518  0.002  0.286  0.814
   0.78100    -14.360087  0.000  0.000  0.000  0.000  0.002  0.002  0.518  0.002  0.288  0.814
   0.79204    -14.363190  0.000  0.000  0.000  0.000  0.002  0.002  0.514  0.002  0.288  0.814
   0.80308    -14.366258  0.000  0.000  0.000  0.000  0.002  0.002  0.512  0.002  0.290  0.812
   0.80308    -14.366258  0.000  0.000  0.000  0.000  0.002  0.002  0.180  0.002  0.624  0.812
   0.83620    -14.375159  0.000  0.000  0.000  0.000  0.002  0.004  0.186  0.004  0.614  0.810
   0.86932    -14.383667  0.000  0.000  0.000  0.000  0.000  0.004  0.190  0.004  0.608  0.808
   0.90244    -14.391589  0.000  0.000  0.000  0.000  0.000  0.004  0.192  0.004  0.604  0.805
   0.93557    -14.398981  0.000  0.000  0.000  0.000  0.000  0.004  0.192  0.004  0.600  0.804
   0.96869    -14.405766  0.000  0.000  0.000  0.000  0.000  0.004  0.194  0.004  0.598  0.802
   1.00181    -14.411960  0.000  0.000  0.000  0.000  0.000  0.004  0.194  0.004  0.596  0.802
   1.03493    -14.417487  0.000  0.000  0.000  0.000  0.000  0.004  0.194  0.004  0.594  0.800
   1.06805    -14.422373  0.000  0.000  0.000  0.000  0.000  0.004  0.194  0.004  0.594  0.798
   1.10117    -14.426658  0.002  0.000  0.000  0.000  0.000  0.004  0.194  0.004  0.592  0.800
   1.13429    -14.430386  0.002  0.000  0.000  0.000  0.000  0.008  0.194  0.008  0.590  0.800
   1.16741    -14.433526  0.002  0.000  0.000  0.000  0.000  0.008  0.194  0.008  0.590  0.798
   1.20054    -14.436189  0.002  0.000  0.000  0.000  0.000  0.008  0.194  0.008  0.590  0.800
   1.23366    -14.438351  0.002  0.000  0.000  0.000  0.000  0.008  0.194  0.008  0.588  0.800
   1.26678    -14.440065  0.002  0.000  0.000  0.000  0.000  0.008  0.194  0.008  0.588  0.800
   1.29990    -14.441392  0.002  0.000  0.000  0.000  0.000  0.008  0.196  0.008  0.588  0.800
   1.33302    -14.442484  0.002  0.000  0.000  0.000  0.000  0.008  0.196  0.008  0.588  0.800
   1.36614    -14.443181  0.002  0.000  0.000  0.000  0.000  0.008  0.196  0.008  0.588  0.800
   1.39926    -14.443592  0.002  0.000  0.000  0.000  0.000  0.008  0.196  0.008  0.588  0.800
   1.43238    -14.443734  0.002  0.000  0.000  0.000  0.008  0.000  0.471  0.008  0.312  0.800
   1.43238    -14.443734  0.002  0.000  0.000  0.000  0.008  0.000  0.470  0.008  0.312  0.800
   1.45943    -14.443734  0.001  0.000  0.000  0.000  0.005  0.005  0.391  0.005  0.392  0.801
   1.48647    -14.443761  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.801
   1.51351    -14.443804  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.801
   1.54056    -14.443866  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.800
   1.56760    -14.443928  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.800
   1.59464    -14.444041  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.800
   1.62169    -14.444149  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.799
   1.64873    -14.444259  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.799
   1.67577    -14.444440  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.798
   1.70282    -14.444599  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.798
   1.72986    -14.444746  0.001  0.000  0.000  0.000  0.004  0.004  0.391  0.004  0.392  0.797
   1.75690    -14.444907  0.000  0.000  0.000  0.000  0.003  0.003  0.391  0.003  0.392  0.797
   1.78395    -14.445073  0.000  0.000  0.000  0.000  0.003  0.003  0.391  0.003  0.392  0.797
   1.81099    -14.445226  0.000  0.000  0.000  0.000  0.005  0.005  0.391  0.005  0.392  0.796
