#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  76
# Band-Index    1
   0.00000    -14.443734  0.109  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.03123    -14.443222  0.110  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.06245    -14.441678  0.112  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.09368    -14.439023  0.112  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.12491    -14.435414  0.112  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.15614    -14.430810  0.112  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.18736    -14.425061  0.110  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.21859    -14.418240  0.105  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.24982    -14.410314  0.104  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.28104    -14.401271  0.104  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.31227    -14.391143  0.104  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.112
   0.34350    -14.379796  0.104  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.111
   0.37472    -14.368214  0.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.104
   0.40595    -14.357715  0.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.102
   0.43718    -14.347534  0.096  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.100
   0.46841    -14.338045  0.096  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.100
   0.49963    -14.329780  0.096  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.098
   0.53086    -14.323258  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
   0.56209    -14.318983  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
   0.59331    -14.317520  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
   0.59331    -14.317520  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
   0.60435    -14.317809  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
   0.61539    -14.318747  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
   0.62643    -14.320118  0.092  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.096
