  #K-Path    Energy        Zn        In         S
# NKPTS & NBANDS: 120  76
# Band-Index    1
    0.000  -14.4437     0.002     0.801     0.112
    0.031  -14.4432     0.002     0.801     0.112
    0.062  -14.4417     0.002     0.800     0.112
    0.094  -14.4390     0.002     0.800     0.112
    0.125  -14.4354     0.002     0.800     0.112
    0.156  -14.4308     0.002     0.800     0.112
    0.187  -14.4251     0.002     0.800     0.112
    0.219  -14.4182     0.002     0.800     0.112
    0.250  -14.4103     0.002     0.804     0.112
    0.281  -14.4013     0.002     0.804     0.112
    0.312  -14.3911     0.002     0.804     0.112
    0.343  -14.3798     0.002     0.804     0.111
    0.375  -14.3682     0.002     0.816     0.104
    0.406  -14.3577     0.002     0.818     0.102
    0.437  -14.3475     0.002     0.820     0.100
    0.468  -14.3380     0.002     0.822     0.100
    0.500  -14.3298     0.002     0.824     0.098
    0.531  -14.3233     0.002     0.826     0.096
    0.562  -14.3190     0.002     0.828     0.096
    0.593  -14.3175     0.002     0.828     0.096
    0.593  -14.3175     0.002     0.828     0.096
    0.604  -14.3178     0.002     0.828     0.096
    0.615  -14.3187     0.002     0.828     0.096
    0.626  -14.3201     0.002     0.828     0.096
    0.637  -14.3219     0.002     0.826     0.100
    0.649  -14.3241     0.002     0.824     0.100
    0.660  -14.3266     0.002     0.824     0.098
    0.671  -14.3292     0.002     0.824     0.098
    0.682  -14.3321     0.002     0.822     0.098
    0.693  -14.3350     0.002     0.820     0.102
    0.704  -14.3381     0.002     0.820     0.102
    0.715  -14.3412     0.002     0.820     0.102
    0.726  -14.3444     0.002     0.818     0.104
    0.737  -14.3475     0.002     0.818     0.104
    0.748  -14.3507     0.002     0.816     0.104
    0.759  -14.3539     0.002     0.814     0.104
    0.770  -14.3570     0.002     0.814     0.104
    0.781  -14.3601     0.002     0.814     0.104
    0.792  -14.3632     0.002     0.814     0.104
    0.803  -14.3663     0.002     0.812     0.106
    0.803  -14.3663     0.002     0.812     0.106
    0.836  -14.3752     0.002     0.810     0.108
    0.869  -14.3837     0.002     0.808     0.108
    0.902  -14.3916     0.002     0.805     0.108
    0.936  -14.3990     0.002     0.804     0.108
    0.969  -14.4058     0.002     0.802     0.112
    1.002  -14.4120     0.002     0.802     0.112
    1.035  -14.4175     0.002     0.800     0.112
    1.068  -14.4224     0.002     0.798     0.114
    1.101  -14.4267     0.002     0.800     0.116
    1.134  -14.4304     0.002     0.800     0.112
    1.167  -14.4335     0.002     0.798     0.112
    1.201  -14.4362     0.002     0.800     0.112
    1.234  -14.4384     0.002     0.800     0.112
    1.267  -14.4401     0.002     0.800     0.112
    1.300  -14.4414     0.002     0.800     0.112
    1.333  -14.4425     0.002     0.800     0.112
    1.366  -14.4432     0.002     0.800     0.112
    1.399  -14.4436     0.002     0.800     0.112
    1.432  -14.4437     0.002     0.800     0.112
    1.432  -14.4437     0.002     0.800     0.112
    1.459  -14.4437     0.002     0.801     0.114
    1.486  -14.4438     0.002     0.801     0.114
    1.514  -14.4438     0.002     0.801     0.115
    1.541  -14.4439     0.002     0.800     0.116
    1.568  -14.4439     0.002     0.800     0.116
    1.595  -14.4440     0.002     0.800     0.116
    1.622  -14.4441     0.002     0.799     0.111
    1.649  -14.4443     0.002     0.799     0.112
    1.676  -14.4444     0.002     0.798     0.112
    1.703  -14.4446     0.002     0.798     0.112
    1.730  -14.4447     0.002     0.797     0.114
    1.757  -14.4449     0.002     0.797     0.114
    1.784  -14.4451     0.002     0.797     0.114
    1.811  -14.4452     0.002     0.796     0.116
    1.838  -14.4454     0.002     0.796     0.116
    1.865  -14.4455     0.002     0.796     0.116
    1.892  -14.4456     0.002     0.796     0.116
    1.919  -14.4456     0.002     0.795     0.116
    1.946  -14.4456     0.002     0.795     0.116
    1.946  -14.4456     0.002     0.795     0.116
    1.968  -14.4452     0.002     0.793     0.116
    1.990  -14.4439     0.002     0.795     0.116
    2.012  -14.4418     0.002     0.794     0.116
    2.035  -14.4389     0.002     0.796     0.115
    2.057  -14.4352     0.002     0.795     0.114
    2.079  -14.4308     0.002     0.796     0.114
    2.101  -14.4257     0.002     0.798     0.114
    2.123  -14.4198     0.002     0.800     0.114
    2.145  -14.4134     0.002     0.802     0.112
    2.167  -14.4064     0.002     0.801     0.112
    2.189  -14.3989     0.002     0.803     0.110
    2.211  -14.3911     0.002     0.805     0.112
    2.233  -14.3829     0.002     0.807     0.108
    2.255  -14.3745     0.002     0.809     0.108
    2.277  -14.3660     0.002     0.811     0.108
    2.300  -14.3576     0.002     0.813     0.104
    2.322  -14.3494     0.002     0.816     0.101
    2.344  -14.3415     0.002     0.817     0.100
    2.366  -14.3341     0.001     0.820     0.101
    2.366  -14.3341     0.001     0.820     0.101
    2.381  -14.3340     0.001     0.820     0.102
    2.397  -14.3338     0.001     0.820     0.103
    2.413  -14.3333     0.001     0.820     0.104
    2.428  -14.3327     0.001     0.820     0.102
    2.444  -14.3320     0.001     0.820     0.100
    2.459  -14.3311     0.001     0.820     0.100
    2.475  -14.3301     0.001     0.820     0.100
    2.491  -14.3289     0.001     0.820     0.100
    2.506  -14.3277     0.002     0.823     0.100
    2.522  -14.3264     0.002     0.824     0.100
    2.537  -14.3251     0.002     0.824     0.096
    2.553  -14.3237     0.002     0.824     0.096
    2.569  -14.3224     0.002     0.824     0.096
    2.584  -14.3210     0.002     0.826     0.100
    2.600  -14.3199     0.002     0.826     0.100
    2.616  -14.3190     0.002     0.828     0.096
    2.631  -14.3182     0.002     0.828     0.096
    2.647  -14.3177     0.002     0.828     0.097
    2.662  -14.3175     0.002     0.828     0.096
 
# Band-Index    2
    2.662  -14.3175     0.002     0.828     0.096
    2.647  -14.3177     0.002     0.828     0.099
    2.631  -14.3182     0.002     0.828     0.096
    2.616  -14.3190     0.002     0.828     0.096
    2.600  -14.3199     0.002     0.826     0.099
    2.584  -14.3210     0.002     0.826     0.100
    2.569  -14.3223     0.002     0.824     0.096
    2.553  -14.3237     0.002     0.824     0.096
    2.537  -14.3250     0.002     0.824     0.096
    2.522  -14.3263     0.002     0.824     0.100
    2.506  -14.3276     0.002     0.824     0.100
    2.491  -14.3289     0.002     0.820     0.100
    2.475  -14.3300     0.001     0.820     0.100
    2.459  -14.3310     0.001     0.820     0.100
    2.444  -14.3319     0.001     0.820     0.100
    2.428  -14.3327     0.001     0.820     0.100
    2.413  -14.3333     0.001     0.820     0.102
    2.397  -14.3337     0.001     0.820     0.104
    2.381  -14.3339     0.001     0.820     0.104
    2.366  -14.3340     0.001     0.820     0.104
    2.366  -14.3340     0.001     0.820     0.104
    2.344  -14.3271     0.002     0.821     0.100
    2.322  -14.3207     0.002     0.823     0.098
    2.300  -14.3151     0.002     0.825     0.097
    2.277  -14.3100     0.002     0.826     0.096
    2.255  -14.3057     0.002     0.827     0.095
    2.233  -14.3019     0.002     0.827     0.094
    2.211  -14.2987     0.002     0.828     0.096
    2.189  -14.2960     0.002     0.829     0.094
    2.167  -14.2937     0.002     0.829     0.094
    2.145  -14.2918     0.002     0.829     0.094
    2.123  -14.2901     0.002     0.830     0.094
    2.101  -14.2888     0.002     0.832     0.092
    2.079  -14.2878     0.002     0.831     0.092
    2.057  -14.2869     0.002     0.831     0.094
    2.035  -14.2862     0.002     0.832     0.094
    2.012  -14.2857     0.002     0.831     0.092
    1.990  -14.2853     0.002     0.833     0.092
    1.968  -14.2851     0.002     0.833     0.092
    1.946  -14.2851     0.002     0.832     0.092
    1.946  -14.2851     0.002     0.832     0.092
    1.919  -14.2877     0.002     0.832     0.092
    1.892  -14.2949     0.002     0.830     0.092
    1.865  -14.3054     0.002     0.827     0.096
    1.838  -14.3177     0.002     0.825     0.096
    1.811  -14.3309     0.002     0.822     0.099
    1.784  -14.3443     0.002     0.820     0.100
    1.757  -14.3575     0.002     0.816     0.102
    1.730  -14.3703     0.002     0.813     0.104
    1.703  -14.3823     0.002     0.811     0.106
    1.676  -14.3934     0.002     0.809     0.106
    1.649  -14.4036     0.002     0.807     0.107
    1.622  -14.4128     0.002     0.805     0.110
    1.595  -14.4209     0.002     0.805     0.110
    1.568  -14.4278     0.002     0.803     0.110
    1.541  -14.4335     0.002     0.802     0.110
    1.514  -14.4380     0.002     0.801     0.110
    1.486  -14.4412     0.002     0.802     0.111
    1.459  -14.4431     0.002     0.800     0.112
    1.432  -14.4437     0.002     0.800     0.112
    1.432  -14.4437     0.002     0.800     0.112
    1.399  -14.4431     0.002     0.801     0.112
    1.366  -14.4411     0.002     0.800     0.112
    1.333  -14.4378     0.002     0.802     0.112
    1.300  -14.4332     0.002     0.802     0.112
    1.267  -14.4275     0.002     0.802     0.108
    1.234  -14.4207     0.002     0.804     0.108
    1.201  -14.4128     0.002     0.806     0.110
    1.167  -14.4040     0.002     0.808     0.108
    1.134  -14.3946     0.002     0.808     0.108
    1.101  -14.3844     0.002     0.812     0.108
    1.068  -14.3737     0.002     0.812     0.104
    1.035  -14.3626     0.002     0.816     0.104
    1.002  -14.3511     0.002     0.818     0.104
    0.969  -14.3396     0.002     0.818     0.100
    0.936  -14.3281     0.002     0.820     0.100
    0.902  -14.3168     0.002     0.822     0.100
    0.869  -14.3057     0.002     0.826     0.096
    0.836  -14.2951     0.002     0.826     0.096
    0.803  -14.2851     0.002     0.828     0.094
    0.803  -14.2851     0.002     0.828     0.094
    0.792  -14.2820     0.002     0.828     0.094
    0.781  -14.2796     0.002     0.836     0.092
    0.770  -14.2839     0.002     0.836     0.092
    0.759  -14.2879     0.002     0.834     0.092
    0.748  -14.2917     0.002     0.834     0.092
    0.737  -14.2952     0.002     0.834     0.092
    0.726  -14.2985     0.002     0.832     0.092
    0.715  -14.3016     0.002     0.832     0.094
    0.704  -14.3043     0.002     0.832     0.096
    0.693  -14.3069     0.002     0.830     0.096
    0.682  -14.3091     0.002     0.830     0.096
    0.671  -14.3111     0.002     0.830     0.096
    0.660  -14.3129     0.002     0.830     0.096
    0.649  -14.3143     0.002     0.830     0.096
    0.637  -14.3155     0.002     0.828     0.096
    0.626  -14.3164     0.002     0.828     0.096
    0.615  -14.3171     0.002     0.828     0.096
    0.604  -14.3174     0.002     0.828     0.096
    0.593  -14.3175     0.002     0.828     0.096
    0.593  -14.3175     0.002     0.828     0.096
    0.562  -14.3190     0.002     0.828     0.096
    0.531  -14.3233     0.002     0.826     0.096
    0.500  -14.3298     0.002     0.824     0.098
    0.468  -14.3380     0.002     0.822     0.100
    0.437  -14.3475     0.002     0.820     0.100
    0.406  -14.3577     0.002     0.818     0.102
    0.375  -14.3682     0.002     0.816     0.104
    0.343  -14.3787     0.002     0.814     0.104
    0.312  -14.3888     0.002     0.812     0.106
    0.281  -14.3984     0.002     0.810     0.108
    0.250  -14.4074     0.002     0.808     0.108
    0.219  -14.4156     0.002     0.806     0.108
    0.187  -14.4228     0.002     0.804     0.112
    0.156  -14.4291     0.002     0.804     0.112
    0.125  -14.4343     0.002     0.802     0.112
    0.094  -14.4384     0.002     0.802     0.112
    0.062  -14.4413     0.002     0.800     0.112
    0.031  -14.4431     0.002     0.799     0.112
    0.000  -14.4437     0.002     0.799     0.112
 
# Band-Index    3
    0.000  -14.4437     0.002     0.801     0.112
    0.031  -14.4431     0.002     0.800     0.112
    0.062  -14.4413     0.002     0.801     0.112
    0.094  -14.4384     0.002     0.802     0.112
    0.125  -14.4343     0.002     0.801     0.112
    0.156  -14.4291     0.002     0.803     0.112
    0.187  -14.4228     0.002     0.804     0.111
    0.219  -14.4156     0.002     0.806     0.108
    0.250  -14.4074     0.002     0.808     0.108
    0.281  -14.3984     0.002     0.810     0.108
    0.312  -14.3888     0.002     0.812     0.106
    0.343  -14.3787     0.002     0.814     0.104
    0.375  -14.3673     0.002     0.808     0.104
    0.406  -14.3537     0.002     0.808     0.104
    0.437  -14.3390     0.002     0.812     0.104
    0.468  -14.3232     0.002     0.816     0.104
    0.500  -14.3063     0.002     0.820     0.100
    0.531  -14.2886     0.002     0.824     0.096
    0.562  -14.2698     0.002     0.828     0.096
    0.593  -14.2504     0.002     0.832     0.092
    0.593  -14.2504     0.002     0.832     0.092
    0.604  -14.2504     0.002     0.832     0.090
    0.615  -14.2507     0.002     0.832     0.092
    0.626  -14.2512     0.002     0.832     0.090
    0.637  -14.2520     0.002     0.832     0.092
    0.649  -14.2530     0.002     0.832     0.088
    0.660  -14.2542     0.002     0.832     0.090
    0.671  -14.2556     0.002     0.832     0.092
    0.682  -14.2572     0.002     0.832     0.092
    0.693  -14.2590     0.002     0.830     0.092
    0.704  -14.2610     0.002     0.830     0.092
    0.715  -14.2631     0.002     0.830     0.092
    0.726  -14.2654     0.002     0.830     0.092
    0.737  -14.2678     0.002     0.830     0.092
    0.748  -14.2704     0.002     0.830     0.092
    0.759  -14.2732     0.002     0.828     0.092
    0.770  -14.2760     0.002     0.830     0.092
    0.781  -14.2789     0.002     0.828     0.094
    0.792  -14.2751     0.002     0.838     0.090
    0.803  -14.2704     0.002     0.838     0.088
    0.803  -14.2704     0.002     0.838     0.088
    0.836  -14.2549     0.002     0.844     0.088
    0.869  -14.2375     0.001     0.848     0.084
    0.902  -14.2184     0.001     0.854     0.080
    0.936  -14.2312     0.002     0.844     0.086
    0.969  -14.2541     0.002     0.838     0.088
    1.002  -14.2767     0.002     0.834     0.092
    1.035  -14.2986     0.002     0.828     0.096
    1.068  -14.3197     0.002     0.824     0.096
    1.101  -14.3396     0.002     0.820     0.100
    1.134  -14.3583     0.002     0.814     0.104
    1.167  -14.3754     0.002     0.812     0.104
    1.201  -14.3909     0.002     0.810     0.108
    1.234  -14.4046     0.002     0.808     0.108
    1.267  -14.4163     0.002     0.806     0.108
    1.300  -14.4260     0.002     0.804     0.112
    1.333  -14.4338     0.002     0.802     0.112
    1.366  -14.4393     0.002     0.800     0.112
    1.399  -14.4426     0.002     0.800     0.112
    1.432  -14.4437     0.002     0.801     0.112
    1.432  -14.4437     0.002     0.801     0.112
    1.459  -14.4431     0.002     0.800     0.112
    1.486  -14.4412     0.002     0.801     0.112
    1.514  -14.4380     0.002     0.801     0.112
    1.541  -14.4335     0.002     0.802     0.112
    1.568  -14.4278     0.002     0.802     0.112
    1.595  -14.4209     0.002     0.804     0.110
    1.622  -14.4128     0.002     0.805     0.110
    1.649  -14.4036     0.002     0.807     0.110
    1.676  -14.3934     0.002     0.810     0.106
    1.703  -14.3823     0.002     0.812     0.106
    1.730  -14.3703     0.002     0.814     0.105
    1.757  -14.3575     0.002     0.817     0.102
    1.784  -14.3443     0.002     0.819     0.100
    1.811  -14.3309     0.002     0.822     0.098
    1.838  -14.3177     0.002     0.825     0.096
    1.865  -14.3054     0.002     0.828     0.095
    1.892  -14.2949     0.002     0.830     0.094
    1.919  -14.2877     0.002     0.831     0.094
    1.946  -14.2851     0.002     0.833     0.093
    1.946  -14.2851     0.002     0.833     0.093
    1.968  -14.2848     0.002     0.833     0.093
    1.990  -14.2838     0.002     0.832     0.093
    2.012  -14.2824     0.002     0.834     0.092
    2.035  -14.2803     0.002     0.834     0.092
    2.057  -14.2777     0.002     0.834     0.090
    2.079  -14.2747     0.002     0.836     0.089
    2.101  -14.2712     0.002     0.835     0.091
    2.123  -14.2673     0.002     0.836     0.089
    2.145  -14.2631     0.002     0.838     0.089
    2.167  -14.2587     0.002     0.838     0.088
    2.189  -14.2541     0.002     0.840     0.089
    2.211  -14.2494     0.002     0.841     0.086
    2.233  -14.2446     0.002     0.842     0.086
    2.255  -14.2398     0.002     0.843     0.086
    2.277  -14.2350     0.002     0.844     0.085
    2.300  -14.2303     0.002     0.845     0.085
    2.322  -14.2255     0.001     0.845     0.085
    2.344  -14.2207     0.001     0.846     0.082
    2.366  -14.2160     0.001     0.848     0.084
    2.366  -14.2160     0.001     0.848     0.084
    2.381  -14.2162     0.001     0.848     0.084
    2.397  -14.2169     0.001     0.848     0.084
    2.413  -14.2181     0.001     0.848     0.084
    2.428  -14.2196     0.001     0.846     0.084
    2.444  -14.2215     0.001     0.844     0.084
    2.459  -14.2237     0.001     0.844     0.084
    2.475  -14.2261     0.001     0.844     0.084
    2.491  -14.2287     0.001     0.843     0.084
    2.506  -14.2315     0.001     0.840     0.084
    2.522  -14.2342     0.001     0.840     0.084
    2.537  -14.2370     0.002     0.840     0.088
    2.553  -14.2397     0.002     0.836     0.088
    2.569  -14.2422     0.002     0.836     0.088
    2.584  -14.2445     0.002     0.836     0.088
    2.600  -14.2465     0.002     0.834     0.088
    2.616  -14.2482     0.002     0.832     0.092
    2.631  -14.2494     0.002     0.832     0.092
    2.647  -14.2502     0.002     0.832     0.092
    2.662  -14.2504     0.002     0.832     0.092
 
# Band-Index    4
    2.662  -14.2499     0.002     0.832     0.092
    2.647  -14.2497     0.002     0.832     0.092
    2.631  -14.2489     0.002     0.832     0.092
    2.616  -14.2477     0.002     0.832     0.092
    2.600  -14.2460     0.002     0.834     0.088
